shift_bp,par_coupon_bp,spread_bp,callable_mtm,call_value_pts,d_call_value_pts,issuer_pnl,bullet_pnl,call_contribution,bullet_coupon_bp
-200,131.79372760169124,6.603727601691336,106.74129314128436,8.033093845745114,6.714300137858999,-33706465.70642179,-67277966.39571679,33571500.689294994,125.18999999999991
-190,142.5117150206825,7.321715020682379,106.4352779246866,7.616628088656412,6.297834380770297,-32176389.62343301,-63665561.527284496,31489171.903851487,135.1900000000001
-180,153.2636290112416,8.073629011241534,106.1304565741844,7.204476288821667,5.885682580935551,-30652282.870921966,-60080695.77559972,29428412.904677752,145.19000000000005
-170,164.0139391858705,8.82393918587047,105.8268231509868,6.79659645284579,5.477802744959675,-29134115.754933987,-56523129.479732364,27389013.724798378,155.19000000000003
-160,174.762640615888,9.572640615888028,105.52437029106572,6.392948478550565,5.07415477066445,-27621851.45532861,-52992625.30865086,25370773.85332225,165.18999999999997
-150,185.50972844428773,10.319728444287724,105.223080667767,5.993502687369272,4.674708979483157,-26115403.338834967,-49488948.23625075,23373544.897415783,175.19
-140,196.25519788542022,11.065197885420305,104.92287861174141,5.598288199479995,4.27949449159388,-24614393.05870705,-46011865.51667645,21397472.457969397,185.1899999999999
-130,206.99904422560596,11.809044225605977,104.62356807110912,5.207454968763017,3.8886612608769013,-23117840.355545595,-42561146.6599301,19443306.304384507,195.18999999999997
-120,217.74126281824542,12.55126281824559,104.32456772274726,4.821538666692149,3.5027449588060335,-21622838.613736305,-39136563.407766476,17513724.79403017,205.18999999999983
-110,228.48184909249,13.291849092489892,104.02461103033473,4.44176061952507,3.1229669116389545,-20123055.151673626,-35737889.7098684,15614834.558194775,215.1900000000001
-100,239.22079854420016,14.030798544200259,103.72207295921021,4.069701088736053,2.750907380849938,-18610364.796051044,-32364901.700300734,13754536.90424969,225.1899999999999
-90,249.95810673971442,14.768106739714154,103.4146724509941,3.707596791739448,2.3888030838533325,-17073362.254970517,-29017377.67423718,11944015.419266663,235.19000000000028
-80,260.6937693148732,15.503769314873205,103.09745001671428,3.3603633041637693,2.041569596277654,-15487250.083571382,-25695098.064959653,10207847.98138827,245.18999999999997
-70,271.4277819746416,16.237781974641553,102.76825362982899,3.0301091622816188,1.7113154543955034,-13841268.149144951,-22397845.42112247,8556577.271977518,255.19000000000005
-60,282.1601404927748,16.97014049277492,102.42694868612206,2.7169258986208007,1.3981321907346853,-12134743.4306103,-19125404.384283725,6990660.953673426,265.1899999999999
-50,292.89084071150074,17.700840711500632,102.07058938726293,2.423716653961961,1.1049229460758454,-10352946.936314637,-15877561.666693864,5524614.730379228,275.1900000000001
-40,303.6198785411874,18.429878541187524,101.68983001019609,2.159784903558915,0.8409911956727996,-8449150.050980449,-12654106.029344447,4204955.978363998,285.1899999999999
-30,314.34724996001256,19.157249960012475,101.30249862560966,1.9072607343303076,0.5884670264441922,-6512493.128048291,-9454828.260269253,2942335.132220961,295.1900000000001
-20,325.07295101363195,19.882951013631967,100.88055523533006,1.6941427031755012,0.3753489952893858,-4402776.17665032,-6279521.15309725,1876744.9764469294,305.19
-10,335.79697781485595,20.606977814855917,100.45821361520004,1.4861759898565765,0.16738228197046112,-2291068.0760001866,-3127979.4858524925,836911.4098523059,315.19000000000005
0,346.51932654329664,21.329326543296638,100.0,1.3187937078861154,0.0,0.0,0.0,0.0,325.19
10,357.23999344505637,22.049993445056245,99.5449187881971,1.1529511956353815,-0.16584251225073388,2275406.0590145285,3104618.620268198,-829212.5612536697,335.1900000000001
20,367.9589748323714,22.76897483237145,99.0600592548518,1.0215192993329367,-0.29727440855317866,4699703.725741032,6186075.768506925,-1486372.042765893,345.18999999999994
30,378.6762670832914,23.48626708329117,98.57091547462736,0.8989644460071418,-0.4198292618789736,7145422.626863223,9244568.93625809,-2099146.309394868,355.1900000000002
40,389.39186664132654,24.201866641326564,98.07844560674646,0.7842893545285534,-0.534504353357562,9607771.96626772,12280293.73305553,-2672521.7667878103,365.19
50,400.10577001512723,24.915770015127222,97.56045993905585,0.6996449875897355,-0.6191487202963799,12197700.304720769,15293443.906202668,-3095743.6014818996,375.19
60,410.8179737781203,25.62797377812037,97.04622652650615,0.615724909315631,-0.7030687985704844,14768867.36746927,18284211.360321693,-3515343.9928524233,385.18999999999994
70,421.52847456818824,26.338474568188204,96.53223827674093,0.535998195809384,-0.7827955120767314,17338808.616295367,21252786.176679023,-3913977.560383655,395.19000000000005
80,432.2372690873241,27.047269087323855,95.99680542789669,0.4821169535315306,-0.8366767543545848,20015972.860516556,24199356.63228948,-4183383.771772925,405.1900000000002
90,442.944354101275,27.75435410127494,95.46529396725299,0.42867789687275604,-0.8901158110133593,22673530.16373505,27124109.21880185,-4450579.055066798,415.19000000000005
