scenario,shift_1y/10y_bp,par_coupon_bp,d_par_bp,spread_bp,d_spread_bp,callable_mtm,call_value_pts,d_call_value_pts,issuer_pnl,bullet_pnl,call_contribution
base,0/0,357.1939457647812,0.0,32.00394576478117,0.0,100.0,1.9788061388833,0.0,0.0,0.0,0.0
unchanged,+0/+0,357.1939457647812,0.0,32.00394576478117,0.0,100.0,1.9788061388833,0.0,0.0,0.0,0.0
parallel -200bp,-200/-200,135.38730348867253,-221.80664227610865,10.197303488672613,-21.80664227610856,104.78403540501537,10.702913978423624,8.724107839540324,-23920177.025076866,-67540716.22277848,43620539.19770162
parallel -100bp,-100/-100,246.34877532326124,-110.84517044151994,21.15877532326133,-10.84517044151984,102.77133324461128,5.705965263012828,3.7271591241295283,-13856666.223056423,-32492461.843704063,18635795.62064764
parallel -50bp,-50/-50,301.78906504631385,-55.404880718467325,26.599065046313783,-5.404880718467389,101.64081412088467,3.526076507631558,1.5472703687482579,-8204070.604423351,-15940422.44816464,7736351.843741289
parallel +50bp,+50/+50,412.5468576203751,55.3529118555939,37.35685762037505,5.352911855593881,97.8011902450333,1.1067096286491136,-0.8720965102341864,10994048.774833515,15354531.326004447,-4360482.551170932
parallel +100bp,+100/+100,467.8553860665229,110.66144030174172,42.66538606652312,10.661440301741948,95.29223650779643,0.6570311007423015,-1.3217750381409985,23538817.461017843,30147692.651722834,-6608875.19070499
parallel +200bp,+200/+200,578.2970366830675,221.10309091828634,53.10703668306757,21.103090918286398,90.06930755023936,0.28103165951165465,-1.6977744793716454,49653462.248803206,58142334.645661436,-8488872.39685823
bull flattener 100bp,-50/-150,259.8291371455625,-97.36480861921865,51.30580381222921,19.301858047448036,102.00842405669435,7.520361511218098,5.541555372334798,-10042120.283471761,-37749897.14514575,27707776.86167399
bear steepener 100bp,+50/+150,467.50731929364343,110.31337352886226,25.650652626976882,-6.35329313780429,94.65221635394462,0.29502161694117035,-1.6837845219421297,26738918.23027688,35157840.83998753,-8418922.609710652
steepener +50bp (2s10s),-25/+25,356.5799312252991,-0.6140145394820706,23.0565978919655,-8.947347872815673,100.02409734941133,1.4408503440062361,-0.5379557948770639,-120486.74705667395,2569292.2273286455,-2689778.9743853193
flattener +50bp (2s10s),+25/-25,361.0489491958391,3.8550034310579235,44.19228252917233,12.18833676439116,99.88183013051838,2.6098785353226504,0.6310723964393503,590849.3474080956,-2564512.634788656,3155361.982196752
mid-curve bulge +50bp @5y,+0/+0,383.2365124109315,26.042566646150306,41.37984574426483,9.375899979483655,98.94860796264535,1.9901975984684839,0.011391459585183838,5256960.1867732275,5200002.888847308,56957.297925919294
mid-curve bulge -50bp @5y,-0/-0,342.0373811737708,-15.156564591010351,33.514047840437556,1.510102075656384,100.4580398539517,2.5818966054730765,0.6030904665897765,-2290199.2697585174,-5305651.6027074,3015452.3329488826
