shift_bp,par_coupon_bp,spread_bp,callable_mtm,call_value_pts,d_call_value_pts,issuer_pnl,bullet_pnl,call_contribution,bullet_coupon_bp
-200,135.38730348867253,10.197303488672613,104.78403540501537,10.702913978423624,8.724107839540324,-23920177.025076866,-67540716.22277848,43620539.19770162,125.18999999999991
-190,146.4911456257531,11.301145625752985,104.58049630968804,10.181196407100487,8.202390268217187,-22902481.54844022,-63914432.88952615,41011951.341085926,135.1900000000001
-180,157.5931597457874,12.403159745787342,104.37755639297968,9.664403772509488,7.6855976336261875,-21887781.964898422,-60315770.133029364,38427988.16813094,145.19000000000005
-170,168.6933395230023,13.503339523002252,104.17521329855438,9.152490379123222,7.173684240239922,-20876066.492771912,-56744487.69397152,35868421.201199606,155.19000000000005
-160,179.79167872327784,14.601678723277882,103.9734646705906,8.645410997911142,6.666604859027842,-19867323.35295301,-53200347.64809222,33333024.29513921,165.18999999999997
-150,190.88817120370123,15.698171203701246,103.77230778374496,8.143121231371552,6.164315092488252,-18861538.91872482,-49683114.38116608,30821575.462441258,175.19
-140,201.9828109121091,16.792810912109186,103.57173695898128,7.645580092756802,5.666773953873502,-17858684.79490638,-46192554.564273894,28333869.769367512,185.1899999999999
-130,213.0755918866745,17.88559188667452,103.37171013361753,7.152783431138303,5.173977292255003,-16858550.66808763,-42728437.12936264,25869886.46127501,195.18999999999997
-120,224.16650825548734,18.976508255487516,103.1720727821342,6.664840005767331,4.686033866884031,-15860363.91067097,-39290533.245091125,23430169.334420156,205.18999999999983
-110,235.2564324844519,20.0664324844518,102.97234181584659,6.18218758162817,4.20338144274487,-14861709.079232952,-35878616.292957306,21016907.213724352,215.19000000000008
-100,246.34877532326124,21.15877532326133,102.77133324461128,5.705965263012828,3.7271591241295283,-13856666.223056423,-32492461.843704063,18635795.62064764,225.1899999999999
-90,257.4391301313543,22.249130131354043,102.5668035855934,5.238372080089746,3.2595659412064464,-12834017.927967025,-29131847.63399926,16297829.706032233,235.19000000000028
-80,268.527492223757,23.337492223757007,102.35565091438916,4.782465933171736,2.8036597942884356,-11778254.571945794,-25796553.54338797,14018298.971442178,245.19
-70,279.61385700087857,24.423857000878506,102.13523947612764,4.340838977057757,2.362032838174457,-10676197.380638186,-22486361.57151047,11810164.190872286,255.19000000000005
-60,290.70164000124623,25.51164000124638,101.89985420701191,3.919163094988903,1.940356956105603,-9499271.035059564,-19201055.81558758,9701784.780528016,265.1899999999998
-50,301.78906504631385,26.599065046313783,101.64081412088467,3.526076507631558,1.5472703687482579,-8204070.604423351,-15940422.44816464,7736351.843741289,275.19000000000005
-40,312.87434485555707,27.684344855557207,101.36627183715433,3.153384240751933,1.174578101868633,-6831359.185771646,-12704249.69511481,5872890.509343164,285.1899999999999
-30,323.9574760690302,28.76747606903006,101.06084120259486,2.8164304990676214,0.8376243601843214,-5304206.012974291,-9492327.813895898,4188121.800921607,295.1900000000001
-20,335.03845540896475,29.848455408964803,100.73279064035273,2.50690531294255,0.5280991740592498,-3663953.201763661,-6304449.07205991,2640495.8702962487,305.18999999999994
-10,346.11727967922593,30.927279679225858,100.37799665048229,2.2288910336028778,0.25008489471957773,-1889983.2524114402,-3140407.726009329,1250424.4735978886,315.19000000000005
0,357.1939457647812,32.00394576478117,100.0,1.9788061388833,0.0,0.0,0.0,0.0,325.19
10,368.268450631169,33.078450631168835,99.59414451453743,1.7612664374228615,-0.21753970146043855,2029277.4273128344,3116975.934615027,-1087698.5073021927,335.19000000000017
20,379.3407913239533,34.15079132395332,99.17722063693581,1.5594415059671718,-0.41936463291612824,4113896.8153209276,6210719.979901569,-2096823.1645806413,345.18999999999994
30,390.41096496820325,35.22096496820303,98.72770116066805,1.3948189518900591,-0.5839871869932409,6361494.196659762,9281430.131625967,-2919935.9349662047,355.1900000000002
40,401.4789687679389,36.28896876793894,98.27363270112592,1.239312937897168,-0.7394932009861321,8631836.494370405,12329302.499301065,-3697466.00493066,365.18999999999994
50,412.5468576203751,37.35685762037505,97.8011902450333,1.1067096286491136,-0.8720965102341864,10994048.774833515,15354531.326004447,-4360482.551170932,375.19000000000005
60,423.6132286441166,38.4232286441167,97.31189160601846,0.9954527312712571,-0.9833534076120429,13440541.969907684,18357309.0079679,-4916767.038060216,385.1899999999999
70,434.6772685481072,39.487268548107146,96.82102044848456,0.8902204676102059,-1.0885856712730941,15894897.757577198,21337826.113942668,-5442928.35636547,395.19000000000005
80,445.7389757465904,40.54897574659024,96.31966840496663,0.7998834530480821,-1.178922685835218,18401657.975166827,24296271.404342916,-5894613.429176088,405.19000000000017
90,456.79834873043154,41.608348730431466,95.80716415624477,0.7250756126044422,-1.2537305262788578,20964179.218776166,27232831.850170456,-6268652.631394289,415.19000000000005
100,467.8553860665229,42.66538606652312,95.29223650779643,0.6570311007423015,-1.3217750381409985,23538817.461017843,30147692.651722834,-6608875.19070499,425.18999999999977
110,478.9100863971788,43.720086397178584,94.777196079684,0.5934026077816412,-1.3854035311016588,26114019.601579983,33041037.257088277,-6927017.655508295,435.1900000000002
120,489.96244843954645,44.772448439546544,94.25597254597035,0.540224116827261,-1.438582022056039,28720137.270148244,35913047.38042844,-7192910.110280197,445.1899999999999
130,501.012470985014,45.82247098501378,93.73116818787064,0.49485734700159867,-1.4839487918817014,31344159.060646817,38763903.020055324,-7419743.959408507,455.19000000000017
140,512.0601528986127,46.87015289861263,93.20623451815975,0.45381512546373415,-1.5249910134195659,33968827.409201264,41593782.4762991,-7624955.067097835,465.1900000000001
150,523.1054931184273,47.91549311842711,92.68389146300414,0.4143422020440113,-1.5644639368392887,36580542.684979275,44402862.369175725,-7822319.68419645,475.19000000000017
160,534.1484906550066,48.95849065500654,92.15977886539675,0.38076374231624754,-1.5980423965670525,39201105.67301627,47191317.655851535,-7990211.982835263,485.1900000000001
170,545.1891445907736,49.9991445907734,91.63535355924448,0.35158825005656524,-1.6272178888267348,41823232.203777604,49959321.64791128,-8136089.444133677,495.19000000000017
180,556.2274540794426,51.03745407944268,91.1110869419387,0.3263099912587819,-1.6524961476245181,44444565.29030653,52707046.02842912,-8262480.73812259,505.18999999999994
190,567.2634183454237,52.07341834542377,90.5888476300298,0.30302633508408405,-1.675779803799216,47055761.84985098,55434660.868847065,-8378899.018996082,515.1899999999999
200,578.2970366830675,53.10703668306757,90.06930755023936,0.28103165951165465,-1.6977744793716454,49653462.248803206,58142334.645661436,-8488872.39685823,525.1899999999999
