Age,Male_qx,Female_qx
65,0.01495119,0.00807691
66,0.01629018,0.00903732
67,0.01787807,0.00978852
68,0.01937408,0.01070909
69,0.02123238,0.01172668
70,0.02276645,0.01285867
71,0.02496727,0.01411575
72,0.02665779,0.01566286
73,0.02908224,0.01703484
74,0.03167023,0.01866776
75,0.03432546,0.02078034
76,0.03826994,0.02362201
77,0.04087129,0.0260665
78,0.0451161,0.0293188
79,0.04999682,0.03261117
80,0.05628556,0.03721584
81,0.0622324,0.04174881
82,0.06780268,0.04638967
83,0.07629517,0.05241448
84,0.08485612,0.05978489
85,0.0965306,0.06930192
86,0.10862558,0.07990936
87,0.12271374,0.09272942
88,0.14125873,0.10818722
89,0.16113923,0.12325612
90,0.18176939,0.14218675
91,0.20175957,0.16105283
92,0.22695222,0.18339439
93,0.25156527,0.2052944
94,0.27415755,0.22960622
95,0.300763,0.25448253
96,0.32307453,0.27611974
97,0.34506218,0.30376007
98,0.37364562,0.32942217
99,0.39574925,0.34911202
100,0.41832841,0.36883051
