projection_year,asset_cf_eur,liability_cf_eur,cashflow_mismatch_eur,cumulative_asset_cf_eur,cumulative_liability_cf_eur,cumulative_mismatch_eur
1,124929916.21466236,0.0,124929916.21466236,124929916.21466236,0.0,124929916.21466236
2,124929916.21466236,0.0,124929916.21466236,249859832.42932472,0.0,249859832.42932472
3,124929916.21466236,0.0,124929916.21466236,374789748.64398706,0.0,374789748.64398706
4,124929916.21466236,0.0,124929916.21466236,499719664.85864943,0.0,499719664.85864943
5,124929916.21466236,0.0,124929916.21466236,624649581.0733118,0.0,624649581.0733118
6,124929916.21466236,0.0,124929916.21466236,749579497.2879741,0.0,749579497.2879741
7,124929916.21466236,0.0,124929916.21466236,874509413.5026364,0.0,874509413.5026364
8,124929916.21466236,0.0,124929916.21466236,999439329.7172987,0.0,999439329.7172987
9,124929916.21466236,0.0,124929916.21466236,1124369245.931961,0.0,1124369245.931961
10,124929916.21466236,0.0,124929916.21466236,1249299162.1466234,0.0,1249299162.1466234
11,124929916.21466236,0.0,124929916.21466236,1374229078.3612857,0.0,1374229078.3612857
12,124929916.21466236,0.0,124929916.21466236,1499158994.575948,0.0,1499158994.575948
13,124929916.21466236,0.0,124929916.21466236,1624088910.7906103,0.0,1624088910.7906103
14,124929916.21466236,0.0,124929916.21466236,1749018827.0052726,0.0,1749018827.0052726
15,2009371289.210677,5651395020.17496,-3642023730.964283,3758390116.2159495,5651395020.17496,-1893004903.9590104
16,274140484.9614687,362951590.851244,-88811105.88977528,4032530601.177418,6014346611.026204,-1981816009.8487856
17,78914374.83358367,362951590.851244,-284037216.0176603,4111444976.011002,6377298201.877448,-2265853225.866446
18,365929958.0829183,362951590.851244,2978367.2316743135,4477374934.093921,6740249792.728692,-2262874858.634772
19,70390012.03141527,362951590.851244,-292561578.8198287,4547764946.125336,7103201383.579936,-2555436437.4546003
20,70390012.0519365,362951590.851244,-292561578.79930747,4618154958.177272,7466152974.43118,-2847998016.2539077
21,70390016.39365882,362951590.8512442,-292561574.4575854,4688544974.5709305,7829104565.282424,-3140559590.711493
22,119122791.57492071,362951590.8512442,-243828799.2763235,4807667766.145851,8192056156.133668,-3384388389.9878163
23,1169818863.862178,362951590.8512442,806867273.0109339,5977486630.008029,8555007746.984912,-2577521116.9768825
24,1099630944.1813304,362951590.8512442,736679353.3300862,7077117574.18936,8917959337.836157,-1840841763.6467962
25,1294306262.6300387,362951590.8512442,931354671.7787945,8371423836.819399,9280910928.6874,-909487091.8680017
26,38669262.38316346,304120459.83765066,-265451197.4544872,8410093099.202562,9585031388.525051,-1174938289.3224888
27,468372109.5621534,295842954.8349279,172529154.72722548,8878465208.764715,9880874343.35998,-1002409134.5952632
28,1116223871.4542086,286810046.73327976,829413824.7209289,9994689080.218924,10167684390.09326,-172995309.87433434
29,9228825.9275363,277346596.73961043,-268117770.81207412,10003917906.14646,10445030986.83287,-441113080.68640846
30,252154715.13751748,267181251.6048002,-15026536.467282712,10256072621.283978,10712212238.43767,-456139617.1536912
31,0.0,256330771.935126,-256330771.935126,10256072621.283978,10968543010.372795,-712470389.0888171
32,0.0,244563995.25986585,-244563995.25986585,10256072621.283978,11213107005.632662,-957034384.348683
33,0.0,232096051.85704526,-232096051.85704526,10256072621.283978,11445203057.489708,-1189130436.2057283
34,0.0,219115941.32864824,-219115941.32864824,10256072621.283978,11664318998.818356,-1408246377.5343766
35,0.0,205330140.3289689,-205330140.3289689,10256072621.283978,11869649139.147324,-1613576517.8633456
36,0.0,190823140.1404524,-190823140.1404524,10256072621.283978,12060472279.287777,-1804399658.003798
37,0.0,175380993.1826559,-175380993.1826559,10256072621.283978,12235853272.470432,-1979780651.1864538
38,0.0,159253290.228859,-159253290.228859,10256072621.283978,12395106562.699291,-2139033941.4153128
39,0.0,142519065.44907606,-142519065.44907606,10256072621.283978,12537625628.148367,-2281553006.864389
40,0.0,125197264.25336495,-125197264.25336495,10256072621.283978,12662822892.401731,-2406750271.117754
41,0.0,107893933.0486473,-107893933.0486473,10256072621.283978,12770716825.450378,-2514644204.1664014
42,0.0,90912046.42697126,-90912046.42697126,10256072621.283978,12861628871.87735,-2605556250.593373
43,0.0,74889725.2728283,-74889725.2728283,10256072621.283978,12936518597.150179,-2680445975.866201
44,0.0,59976064.38692675,-59976064.38692675,10256072621.283978,12996494661.537106,-2740422040.2531276
45,0.0,46694871.25506777,-46694871.25506777,10256072621.283978,13043189532.792173,-2787116911.5081954
46,0.0,35275557.98222732,-35275557.98222732,10256072621.283978,13078465090.7744,-2822392469.4904227
47,0.0,25772333.104905,-25772333.104905,10256072621.283978,13104237423.879305,-2848164802.595328
48,0.0,18282775.453511704,-18282775.453511704,10256072621.283978,13122520199.332817,-2866447578.0488396
49,0.0,12506918.408154836,-12506918.408154836,10256072621.283978,13135027117.740973,-2878954496.4569945
50,0.0,8230985.71118032,-8230985.71118032,10256072621.283978,13143258103.452152,-2887185482.1681747
