instrument,issuer,category,isin,rating,maturity_date,years_to_maturity,coupon,quote_date,staleness_days,market_price_per_100,ytm,z_spread,duration,modified_duration,dv01_per_eur_1m,convexity,eur_allocation,eur_allocation_mn,portfolio_weight,dv01_contribution,dv01_contribution_mn,pricing_data_label
KFW 0.945 12/17/2040 Corp,KfW,SSA,,,2040-12-17,14.291581108829568,0.00945,2026-09-02,0.0,66.222,0.0419891174443528,0.00644886216820352,13.030522495716692,12.50543050552789,1303.0526747161762,178.86295515333424,749999999.9867758,749.9999999867757,0.1499999999977063,977289.5060199003,0.9772895060199003,observed market price from Fixed Income Basket.xlsx
BGB 4 ¼ 03/28/2041 Corp,Kingdom of Belgium,Gov,,,2041-03-28,14.568104038329912,0.0425,2026-09-02,0.0,99.749,0.044455520521429766,0.009030914051848664,10.886976831588335,10.423590682112689,1088.698010241727,140.95658551072893,749999999.9635891,749.9999999635891,0.14999999999306898,816523.5076416547,0.8165235076416547,observed market price from Fixed Income Basket.xlsx
RAGB 1.85 05/23/2049 Corp,Republic of Austria,Gov,,,2049-05-23,22.72142368240931,0.0185,2026-09-02,0.0,68.056,0.04064866648086482,0.005052749642622205,17.515150868050775,16.830993429589753,1751.5164028896138,352.7193194235411,749999999.7794721,749.9999997794721,0.14999999995624558,1313637.3017809521,1.3136373017809522,observed market price from Fixed Income Basket.xlsx
NETHER 2 01/15/2054 Corp,Kingdom of the Netherlands,Gov,,,2054-01-15,27.370294318959616,0.02,2026-09-02,0.0,69.106,0.03940369914240825,0.00435894258693228,19.397944014865843,18.66256973192486,1939.7964290174534,454.5615365961645,749999996.2369237,749.9999962369237,0.1499999992477359,1454847.314463488,1.4548473144634881,observed market price from Fixed Income Basket.xlsx
EU 0.7 07/06/2051 REGS Corp,European Union,SSA,,,2051-07-06,24.840520191649556,0.007,2026-09-02,0.0,45.373,0.04346250791761081,0.007876800773145346,21.502047380696954,20.606439826580434,2150.2068058895316,488.9116056301819,565759857.1221597,565.7598571221597,0.11315197142469684,1216500.6952831568,1.2165006952831567,observed market price from Fixed Income Basket.xlsx
DBR 0 08/15/2050 G REGS Corp,Federal Republic of Germany,Gov,,,2050-08-15,23.95071868583162,0.0,2026-09-02,0.0,40.714,0.03823134000700591,0.0027070846319977963,23.95071868583162,23.06876874442068,2395.074158419967,554.3873866942417,428406274.4421383,428.40627444213834,0.08568125488862825,1026064.7972213378,1.0260647972213377,observed market price from Fixed Income Basket.xlsx
ITALY 2.97 01/24/2044 REGS Corp,Republic of Italy,Gov,,,2044-01-24,17.39356605065024,0.0297,2026-09-02,0.0,106.707,0.026146204234050823,-0.009007779204761295,13.667910301010894,13.319651960524544,1366.7916346396378,220.7138262487136,306265718.3467235,306.2657183467235,0.0612531436694881,418601.4218132011,0.4186014218132011,observed market price from Fixed Income Basket.xlsx
DBR 1.8 08/15/2053 REGS Corp,Federal Republic of Germany,Gov,,,2053-08-15,26.951403148528406,0.018,2026-09-02,0.0,66.226,0.03838216223953535,0.0033185993785690465,20.021058029119374,19.28101113171943,2002.1078712442377,468.9518092582693,284575007.57275784,284.57500757275784,0.05691500151468481,569749.862620807,0.5697498626208071,observed market price from Fixed Income Basket.xlsx
EU 4 10/12/2055 REGS Corp,European Union,SSA,,,2055-10-12,29.1088295687885,0.04,2026-09-02,0.0,92.796,0.04684441295262734,0.01166387609525693,16.3298683769942,15.599136008125376,1632.9884861114253,362.4960256515546,184240142.84809583,184.24014284809584,0.036848028569705434,300862.03195046476,0.30086203195046474,observed market price from Fixed Income Basket.xlsx
LGB 1 ¾ 05/25/2042 REGS Corp,Grand Duchy of Luxembourg,Gov,,,2042-05-25,15.72621492128679,0.0175,2026-09-02,0.0,74.704,0.039869880639248075,0.004293543158973121,13.40582819734923,12.891832379170507,1340.583328523527,197.27986071450425,143333379.1743835,143.33337917438348,0.028666675834943808,192150.3385421198,0.1921503385421198,observed market price from Fixed Income Basket.xlsx
