projection_year,liability_cf_eur,lump_sum_cf_eur,pension_cf_eur
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,5651395020.17496,5651395020.17496,0.0
16,362951590.851244,0.0,362951590.851244
17,362951590.851244,0.0,362951590.851244
18,362951590.851244,0.0,362951590.851244
19,362951590.851244,0.0,362951590.851244
20,362951590.851244,0.0,362951590.851244
21,362951590.8512442,0.0,362951590.8512442
22,362951590.8512442,0.0,362951590.8512442
23,362951590.8512442,0.0,362951590.8512442
24,362951590.8512442,0.0,362951590.8512442
25,362951590.8512442,0.0,362951590.8512442
26,304120459.83765066,0.0,304120459.83765066
27,295842954.8349279,0.0,295842954.8349279
28,286810046.73327976,0.0,286810046.73327976
29,277346596.73961043,0.0,277346596.73961043
30,267181251.6048002,0.0,267181251.6048002
31,256330771.935126,0.0,256330771.935126
32,244563995.25986585,0.0,244563995.25986585
33,232096051.85704526,0.0,232096051.85704526
34,219115941.32864824,0.0,219115941.32864824
35,205330140.3289689,0.0,205330140.3289689
36,190823140.1404524,0.0,190823140.1404524
37,175380993.1826559,0.0,175380993.1826559
38,159253290.228859,0.0,159253290.228859
39,142519065.44907606,0.0,142519065.44907606
40,125197264.25336495,0.0,125197264.25336495
41,107893933.0486473,0.0,107893933.0486473
42,90912046.42697126,0.0,90912046.42697126
43,74889725.2728283,0.0,74889725.2728283
44,59976064.38692675,0.0,59976064.38692675
45,46694871.25506777,0.0,46694871.25506777
46,35275557.98222732,0.0,35275557.98222732
47,25772333.104905,0.0,25772333.104905
48,18282775.453511704,0.0,18282775.453511704
49,12506918.408154836,0.0,12506918.408154836
50,8230985.71118032,0.0,8230985.71118032
