instrument,issuer,category,isin,rating,coupon,maturity_year_metadata,maturity_date,years_to_maturity,quote_date,raw_price,market_price_per_100,market_price_per_1_nominal,staleness_days,usable_for_optimizer,exclusion_reason,price_normalization,coupon_normalization,source_file
DBR 2.9 08/15/2056 REGS Corp,Federal Republic of Germany,Gov,,,0.029,2056,2056-08-15,29.95208761122519,2026-09-02,83408.0,83.408,0.83408,0.0,True,,"raw / 1,000",already decimal in workbook,Fixed Income Basket.xlsx
EU 4 10/12/2055 REGS Corp,European Union,SSA,,,0.04,2055,2055-10-12,29.1088295687885,2026-09-02,92796.0,92.796,0.9279600000000001,0.0,True,,"raw / 1,000",already decimal in workbook,Fixed Income Basket.xlsx
NETHER 2 01/15/2054 Corp,Kingdom of the Netherlands,Gov,,,0.02,2054,2054-01-15,27.370294318959616,2026-09-02,69106.0,69.106,0.6910599999999999,0.0,True,,"raw / 1,000",already decimal in workbook,Fixed Income Basket.xlsx
DBR 1.8 08/15/2053 REGS Corp,Federal Republic of Germany,Gov,,,0.018,2053,2053-08-15,26.951403148528406,2026-09-02,66226.0,66.226,0.66226,0.0,True,,"raw / 1,000",already decimal in workbook,Fixed Income Basket.xlsx
RFGB 0 ⅛ 04/15/52 €,Republic of Finland,Gov,,,0.00125,2052,2052-04-15,25.61806981519507,,,,,,False,missing usable market price,"raw / 1,000",already decimal in workbook,Fixed Income Basket.xlsx
EU 2 ½ 10/04/2052 REGS Corp,European Union,SSA,,,0.025,2052,2052-10-04,26.088980150581794,,,,,,False,missing usable market price,"raw / 1,000",already decimal in workbook,Fixed Income Basket.xlsx
EU 0.7 07/06/2051 REGS Corp,European Union,SSA,,,0.007,2051,2051-07-06,24.840520191649556,2026-09-02,45373.0,45.373,0.45372999999999997,0.0,True,,"raw / 1,000",already decimal in workbook,Fixed Income Basket.xlsx
DBR 0 08/15/2050 G REGS Corp,Federal Republic of Germany,Gov,,,0.0,2050,2050-08-15,23.95071868583162,2026-09-02,40714.0,40.714,0.40714,0.0,True,,"raw / 1,000",already decimal in workbook,Fixed Income Basket.xlsx
RAGB 1.85 05/23/2049 Corp,Republic of Austria,Gov,,,0.0185,2049,2049-05-23,22.72142368240931,2026-09-02,68056.0,68.056,0.6805599999999999,0.0,True,,"raw / 1,000",already decimal in workbook,Fixed Income Basket.xlsx
ITALY 5.345 01/27/2048 Corp,Republic of Italy,Gov,,,0.05345,2048,2048-01-27,21.401779603011637,2026-09-02,103423.0,103.423,1.03423,0.0,True,,"raw / 1,000",already decimal in workbook,Fixed Income Basket.xlsx
NETHER 2 ¾ 01/15/2047 Corp,Kingdom of the Netherlands,Gov,,,0.0275,2047,2047-01-15,20.369609856262834,2026-09-02,85059.0,85.059,0.85059,0.0,True,,"raw / 1,000",already decimal in workbook,Fixed Income Basket.xlsx
DBR 2 ½ 08/15/2046 REGS Corp,Federal Republic of Germany,Gov,,,0.025,2046,2046-08-15,19.95071868583162,2026-09-02,82399.0,82.399,0.82399,0.0,True,,"raw / 1,000",already decimal in workbook,Fixed Income Basket.xlsx
BGB 3 ¾ 06/22/2045 REGS Corp,Kingdom of Belgium,Gov,,,0.0375,2045,2045-06-22,18.803559206023273,2026-09-02,90876.0,90.876,0.90876,0.0,True,,"raw / 1,000",already decimal in workbook,Fixed Income Basket.xlsx
ITALY 2.97 01/24/2044 REGS Corp,Republic of Italy,Gov,,,0.0297,2044,2044-01-24,17.39356605065024,2026-09-02,106707.0,106.707,1.06707,0.0,True,,"raw / 1,000",already decimal in workbook,Fixed Income Basket.xlsx
RENTEN 3.676 10/12/2043 REGS Corp,Rentenbank,SSA,,,0.03675,2043,2043-10-12,17.1088295687885,2026-09-02,96920.0,96.92,0.9692000000000001,0.0,True,,"raw / 1,000",already decimal in workbook,Fixed Income Basket.xlsx
LGB 1 ¾ 05/25/2042 REGS Corp,Grand Duchy of Luxembourg,Gov,,,0.0175,2042,2042-05-25,15.72621492128679,2026-09-02,74704.0,74.704,0.7470399999999999,0.0,True,,"raw / 1,000",already decimal in workbook,Fixed Income Basket.xlsx
BGB 4 ¼ 03/28/2041 Corp,Kingdom of Belgium,Gov,,,0.0425,2041,2041-03-28,14.568104038329912,2026-09-02,99749.0,99.749,0.99749,0.0,True,,"raw / 1,000",already decimal in workbook,Fixed Income Basket.xlsx
KFW 0.945 12/17/2040 Corp,KfW,SSA,,,0.00945,2040,2040-12-17,14.291581108829568,2026-09-02,66222.0,66.222,0.6622199999999999,0.0,True,,"raw / 1,000",already decimal in workbook,Fixed Income Basket.xlsx
