Year,Age,Male_Alive,Female_Alive,Total_Alive,Total_Deaths,Pension_Units,Expected_Annual_Pension_Cashflow,Discount_Factor,PV_Pension_Cashflow,projection_year,base_100pct_pension_cf_eur,selected_pension_cf_eur,timing_convention,source_file
1,65,50000.0,50000.0,100000.0,1151.405,100000.0,725903181.702488,0.9756097560975611,708198226.051208,16,725903181.702488,362951590.851244,projection_year = first_benefit_year + pension_year,pension_liability_results.xlsx
2,66,49252.4405,49596.1545,98848.595,1250.54744017023,100000.0,725903181.702488,0.9518143961927424,690925098.5865446,17,725903181.702488,362951590.851244,projection_year = first_benefit_year + pension_year,pension_liability_results.xlsx
3,67,48450.10937881571,49147.93818101405,97598.04755982976,1347.280022825743,100000.0,725903181.702488,0.928599410919749,674073266.9137022,18,725903181.702488,362951590.851244,projection_year = first_benefit_year + pension_year,pension_liability_results.xlsx
4,68,47583.91493183358,48666.85260517043,96250.76753700402,1443.072279168043,100000.0,725903181.702488,0.9059506447997552,657632455.5255632,19,725903181.702488,362951590.851244,projection_year = first_benefit_year + pension_year,pension_liability_results.xlsx
5,69,46662.02035723104,48145.67490060493,94807.69525783596,1555.334670735891,100000.0,725903181.702488,0.8838542876095173,641592639.5371349,20,725903181.702488,362951590.851244,projection_year = first_benefit_year + pension_year,pension_liability_results.xlsx
6,70,45671.27460943858,47581.0859776615,93252.36058710009,1651.60227266043,100000.0,725903181.7024884,0.8622968659605048,625944038.5728146,21,725903181.7024884,362951590.8512442,projection_year = first_benefit_year + pension_year,pension_liability_results.xlsx
7,71,44631.50181960653,46969.25649483313,91600.75831443965,1777.333038802548,100000.0,725903181.7024884,0.8412652350834192,610677110.8027459,22,725903181.7024884,362951590.8512442,projection_year = first_benefit_year + pension_year,pension_liability_results.xlsx
8,72,43517.17506317092,46306.25021246618,89823.4252756371,1885.360028430075,100000.0,725903181.7024884,0.8207465708130922,595782547.1246303,23,725903181.7024884,362951590.8512442,projection_year = first_benefit_year + pension_year,pension_liability_results.xlsx
9,73,42357.10334894367,45580.96189826335,87938.06524720704,2008.303838281796,100000.0,725903181.7024884,0.8007283617688704,581251265.4874443,24,725903181.7024884,362951590.8512442,projection_year = first_benefit_year + pension_year,pension_liability_results.xlsx
10,74,41125.26390364489,44804.49750528034,85929.76140892523,2138.846172988304,100000.0,725903181.7024884,0.7811984017257273,567074405.3536042,25,725903181.7024884,362951590.8512442,projection_year = first_benefit_year + pension_year,pension_liability_results.xlsx
11,75,39822.81733700576,43968.09789893117,83790.91523593693,2280.608547081773,83790.91523593693,608240919.6753013,0.7621447821714413,463567643.2336897,26,608240919.6753013,304120459.83765066,projection_year = first_benefit_year + pension_year,pension_liability_results.xlsx
12,76,38455.88081341706,43054.42587543809,81510.30668885515,2488.73632995048,81510.30668885515,591685909.6698558,0.7435558850453087,439951540.2334082,27,591685909.6698558,295842954.8349279,projection_year = first_benefit_year + pension_year,pension_liability_results.xlsx
13,77,36984.17656204044,42037.39379686423,79021.57035890468,2607.35873108432,79021.57035890468,573620093.4665595,0.7254203756539598,416115703.6851711,28,573620093.4665595,286810046.73327976,projection_year = first_benefit_year + pension_year,pension_liability_results.xlsx
14,78,35472.58555636209,40941.62607145827,76414.21162782036,2800.744063683258,76414.21162782036,554693193.4792209,0.7077271957599608,392571458.3281863,29,554693193.4792209,277346596.73961043,projection_year = first_benefit_year + pension_year,pension_liability_results.xlsx
15,79,33872.2008391427,39741.26672499441,73613.4675641371,2989.511533542603,73613.4675641371,534362503.2096004,0.6904655568389862,368958903.3324913,30,534362503.2096004,267181251.6048002,projection_year = first_benefit_year + pension_year,pension_liability_results.xlsx
16,80,32178.69851078423,38445.25751981027,70623.9560305945,3241.968618366713,70623.9560305945,512661543.870252,0.67362493350145,345341598.3983492,31,512661543.870252,256330771.935126,projection_year = first_benefit_year + pension_year,pension_liability_results.xlsx
17,81,30367.50244503358,37014.48496719421,67381.98741222778,3435.153259303555,67381.98741222778,489127990.5197317,0.6571950570745855,321452497.6463924,32,489127990.5197317,244563995.25986585,projection_year = first_benefit_year + pension_year,pension_liability_results.xlsx
18,82,28477.65988587327,35469.17426705096,63946.83415292423,3576.264949811688,63946.83415292423,464192103.7140905,0.641165909341059,297624152.286784,33,464192103.7140905,232096051.85704526,projection_year = first_benefit_year + pension_year,pension_liability_results.xlsx
19,83,26546.79822548257,33823.77097762997,60370.56920311254,3798.247851000458,60370.56920311254,438231882.6572965,0.6255277164303016,274126188.8255705,34,438231882.6572965,219115941.32864824,projection_year = first_benefit_year + pension_year,pension_liability_results.xlsx
20,84,24521.40574191367,32050.91561019841,56572.32135211208,3996.95181235951,56572.32135211208,410660280.6579378,0.6102709428588309,250614036.6717918,35,410660280.6579378,205330140.3289689,projection_year = first_benefit_year + pension_year,pension_liability_results.xlsx
21,85,22440.61439370916,30134.75514604341,52575.36953975257,4254.60236214407,52575.36953975257,381646280.2809048,0.5953862857159326,227226961.2737497,36,381646280.2809048,190823140.1404524,projection_year = first_benefit_year + pension_year,pension_liability_results.xlsx
22,86,20274.40842191578,28046.35875569272,48320.7671776085,4443.485952485287,48320.7671776085,350761986.3653118,0.5808646689911537,203745245.1047664,37,350761986.3653118,175380993.1826559,projection_year = first_benefit_year + pension_year,pension_liability_results.xlsx
23,87,18072.08904792829,25805.19217719492,43877.28122512321,4610.594140264142,43877.28122512321,318506580.457718,0.56669723804015,180496799.4430016,38,318506580.457718,159253290.228859,projection_year = first_benefit_year + pension_year,pension_liability_results.xlsx
24,88,15854.39541124397,23412.2916736151,39266.68708485907,4772.482510707716,39266.68708485907,285038130.8981521,0.5528753541855124,157590557.5766923,39,285038130.8981521,142519065.44907606,projection_year = first_benefit_year + pension_year,pension_liability_results.xlsx
25,89,13614.82365053382,20879.38092361753,34494.20457415135,4767.393680279922,34494.20457415135,250394528.5067299,0.5393905894492803,135060452.3261197,40,250394528.5067299,125197264.25336495,projection_year = first_benefit_year + pension_year,pension_liability_results.xlsx
26,90,11420.94145090101,18305.86944297042,29726.81089387143,4678.829642776265,29726.81089387143,215787866.0972946,0.5262347214139321,113555067.6002167,41,215787866.0972946,107893933.0486473,projection_year = first_benefit_year + pension_year,pension_liability_results.xlsx
27,91,9344.963890145018,15703.01736095015,25047.98125109516,4414.451281661339,25047.98125109516,181824092.8539425,0.5133997282087143,93348439.85301013,42,181824092.8539425,90912046.42697126,projection_year = first_benefit_year + pension_year,pension_liability_results.xlsx
28,92,7459.527994003832,13174.00197542999,20633.52996943382,4108.994494534095,20633.52996943382,149779450.5456566,0.5008777836182579,75021199.22086895,43,149779450.5456566,74889725.2728283,projection_year = first_benefit_year + pension_year,pension_liability_results.xlsx
