year,asset_cf_eur,liability_cf_eur
1,225430818.3979347,0.0
2,225430818.3979347,0.0
3,225430818.3979347,0.0
4,225430818.3979347,0.0
5,225430818.3979347,0.0
6,225430818.3979347,0.0
7,225430818.3979347,0.0
8,225430818.3979347,0.0
9,225430818.3979347,0.0
10,225430818.3979347,0.0
11,225430818.3979347,0.0
12,225430818.3979347,0.0
13,225430818.3979347,0.0
14,1357984954.4829214,0.0
15,966615418.7746584,5651395020.17496
16,362951590.9012962,362951590.851244
17,566233749.1438155,362951590.851244
18,165411787.59898788,362951590.851244
19,990712196.9170122,362951590.851244
20,134463022.3324073,362951590.851244
21,859640207.2032508,362951590.8512442
22,95702301.71148266,362951590.8512442
23,95702301.79107738,362951590.8512442
24,95702301.74037832,362951590.8512442
25,1076083874.0996351,362951590.8512442
26,88839630.70335013,304120459.83765066
27,88839630.81137155,295842954.8349279
28,88839630.70128831,286810046.73327976
29,897064123.1265194,277346596.73961043
30,56510651.07806501,267181251.60480022
31,56510651.0861529,256330771.93512598
32,56510651.00213927,244563995.25986585
33,56510651.81090473,232096051.85704526
34,56510651.00213927,219115941.32864824
35,742737413.4336668,205330140.3289689
36,56510651.00213927,190823140.1404524
37,56510651.00213927,175380993.1826559
38,56510651.00213927,159253290.228859
39,56510651.00213927,142519065.44907606
40,56510651.00213927,125197264.25336494
41,56510651.00213927,107893933.0486473
42,114955246.27728951,90912046.42697126
43,55195647.608448386,74889725.2728283
44,55195647.608448386,59976064.38692675
45,55195647.608448386,46694871.25506777
46,55195647.608448386,35275557.98222732
47,55195647.608448386,25772333.104905
48,55195647.608448386,18282775.453511704
49,55195647.608448386,12506918.408154836
50,55195647.608448386,8230985.711180319
51,55195647.608448386,0.0
52,55195647.608448386,0.0
53,55195647.608448386,0.0
54,55195647.608448386,0.0
55,55195647.608448386,0.0
56,55195647.608448386,0.0
57,55195647.608448386,0.0
58,55195647.608448386,0.0
59,55195647.608448386,0.0
60,55195647.608448386,0.0
61,55195647.608448386,0.0
62,55195647.608448386,0.0
63,55195647.608448386,0.0
64,55195647.608448386,0.0
65,55195647.608448386,0.0
66,55195647.608448386,0.0
67,55195647.608448386,0.0
68,55195647.608448386,0.0
69,55195647.608448386,0.0
70,55195647.608448386,0.0
71,55195647.608448386,0.0
72,55195647.608448386,0.0
73,55195647.608448386,0.0
74,55195647.608448386,0.0
75,55195647.608448386,0.0
76,55195647.608448386,0.0
77,55195647.608448386,0.0
78,55195647.608448386,0.0
79,55195647.608448386,0.0
80,55195647.608448386,0.0
81,55195647.608448386,0.0
82,55195647.608448386,0.0
83,55195647.608448386,0.0
84,55195647.608448386,0.0
85,55195647.608448386,0.0
86,55195647.608448386,0.0
87,55195647.608448386,0.0
88,55195647.608448386,0.0
89,55195647.608448386,0.0
90,55195647.608448386,0.0
91,55195647.608448386,0.0
92,55195647.608448386,0.0
93,2622435071.257211,0.0
94,0.004400139030436326,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
