instrument,issuer,coupon,years_to_maturity,market_price_per_100,modified_duration,convexity,nominal_eur,eur_allocation,portfolio_weight
KFW 0.945 12/17/2040 Corp,KfW,0.00945,14.291581108829568,66.222,12.54277981564248,177.3646961575771,1132554136.084987,749999999.9981999,0.1500000000149462
BGB 4 ¼ 03/28/2041 Corp,Kingdom of Belgium,0.0425,14.568104038329912,99.749,11.136271292981466,156.11220657800106,751887236.9627267,749999999.9979503,0.15000000001489627
ITALY 5.345 01/27/2048 Corp,Republic of Italy,0.05345,21.401779603011637,103.423,13.497831193761304,243.8678090974883,725177184.9558765,749999999.9969162,0.15000000001468944
EU 4 10/12/2055 REGS Corp,European Union,0.04,29.1088295687885,92.796,17.582419703618662,423.91529789493853,808224492.425231,749999999.9909174,0.1500000000134897
BGB 3 ¾ 06/22/2045 REGS Corp,Kingdom of Belgium,0.0375,18.803559206023273,90.876,13.479252559401486,231.9974611452167,825300409.3180242,749999999.9718477,0.15000000000967575
EU 0.7 07/06/2051 REGS Corp,European Union,0.007,24.840520191649556,45.373,21.28104699076032,513.6958629955316,980381572.3800043,444828530.83597934,0.08896570617627406
RENTEN 3.676 10/12/2043 REGS Corp,Rentenbank,0.03675,17.1088295687885,96.92,12.502941564968165,196.58912703097187,386613900.68802357,374706192.5468325,0.0749412385170136
IBRD 0 11/09/2061 Corp,World Bank (IBRD),0.0,35.186858316221766,23.537,33.85613682642578,1178.9876579756542,686226762.4315276,161517193.07350865,0.03230343861799802
LGB 1 ¾ 05/25/2042 REGS Corp,Grand Duchy of Luxembourg,0.0175,15.72621492128679,74.704,13.296197508682999,207.46779103917072,180178616.66028044,134600633.78989586,0.02692012676072614
NRW 2.15 03/21/2119 REGS Corp,North Rhine-Westphalia,0.0215,92.5448323066393,3.901,32.18599293267308,1834.9578065480537,2567239423.6487627,100148009.91653822,0.020029601985351492
SLOVGB 2 ¼ 06/12/2068 REGS Corp,Slovak Republic,0.0225,41.776865160848736,58.516,24.56088912058773,844.7707556964247,58444595.27515024,34199439.37120691,0.006839887874939334
