key_tenor,liability,stage2,gap
2.0,-0.0,93185.98645054872,-93185.98645054872
5.0,-0.0,296635.36713304976,-296635.36713304976
10.0,-0.0,757361.1475229058,-757361.1475229058
15.0,5691943.0145176975,2878347.468724188,2813595.5457935096
20.0,1789068.6235926268,1357744.3642259112,431324.25936671556
25.0,1757965.157544561,2234934.1918852325,-476969.0343406715
30.0,2001005.0174805727,1187026.3152243323,813978.7022562404
40.0,1376735.763078507,0.0,1376735.763078507
50.0,182715.39966008277,0.0,182715.39966008277
65.0,-0.0,0.0,-0.0
90.0,-0.0,0.0,-0.0
