key_tenor,liability,stage2,gap
2.0,-0.0,131608.64336565376,-131608.64336565376
5.0,-0.0,418944.7333183488,-418944.7333183488
10.0,-0.0,989222.9575201236,-989222.9575201236
15.0,5691943.0145176975,2849952.8465925977,2841990.1679251
20.0,1789068.6235926268,2084687.3282342441,-295618.70464161737
25.0,1757965.157544561,1843453.1470903899,-85487.9895458289
30.0,2001005.0174805727,1608396.145623102,392608.8718574706
40.0,1376735.763078507,1037289.7847703573,339445.97830814973
50.0,182715.39966008277,707112.0021160257,-524396.6024559429
65.0,-0.0,915784.2480064522,-915784.2480064522
90.0,-0.0,2012323.8721236822,-2012323.8721236822
