instrument,issuer,coupon,years_to_maturity,market_price_per_100,modified_duration,convexity,nominal_eur,eur_allocation,portfolio_weight
KFW 0.945 12/17/2040 Corp,KfW,0.00945,14.291581108829568,66.222,12.54277981564248,177.3646961575771,1132554136.0002341,749999999.942075,0.1500000000352352
BGB 4 ¼ 03/28/2041 Corp,Kingdom of Belgium,0.0425,14.568104038329912,99.749,11.136271292981466,156.11220657800106,751887236.8739142,749999999.9093608,0.15000000002869235
LGB 1 ¾ 05/25/2042 REGS Corp,Grand Duchy of Luxembourg,0.0175,15.72621492128679,74.704,13.296197508682999,207.46779103917072,1003962304.4365827,749999999.9063046,0.15000000002808112
EU 4 10/12/2055 REGS Corp,European Union,0.04,29.1088295687885,92.796,17.582419703618662,423.91529789493853,808224492.2160646,749999999.7968194,0.15000000000618408
ITALY 5.345 01/27/2048 Corp,Republic of Italy,0.05345,21.401779603011637,103.423,13.497831193761304,243.8678090974883,725177183.9474617,749999998.9539833,0.14999999983761683
EU 0.7 07/06/2051 REGS Corp,European Union,0.007,24.840520191649556,45.373,21.28104699076032,513.6958629955316,1330721848.3068857,603788424.2322832,0.1207576848841493
DBR 2.9 08/15/2056 REGS Corp,Federal Republic of Germany,0.029,29.95208761122519,83.408,19.186660451418582,492.0881435437925,354095889.30833155,295344299.35429317,0.05906885988929607
RENTEN 3.676 10/12/2043 REGS Corp,Rentenbank,0.03675,17.1088295687885,96.92,12.502941564968165,196.58912703097187,165375872.5712246,160282295.69603088,0.0320564591492121
DBR 0 08/15/2050 G REGS Corp,Federal Republic of Germany,0.0,23.95071868583162,40.714,23.19262390333087,560.310212001411,311038771.07092726,126636325.25381732,0.025327265058668978
BGB 3 ¾ 06/22/2045 REGS Corp,Kingdom of Belgium,0.0375,18.803559206023273,90.876,13.479252559401486,231.9974611452167,70369135.2990441,63948655.39435933,0.012789731082863983
