instrument,issuer,coupon,years_to_maturity,market_price_per_100,modified_duration,convexity,nominal_eur,eur_allocation,portfolio_weight
KFW 0.945 12/17/2040 Corp,KfW,0.00945,14.291581108829568,66.222,12.535364579998928,177.15504370960545,1132554000.9328783,749999910.4977705,0.14999998249919064
ITALY 5.345 01/27/2048 Corp,Republic of Italy,0.05345,21.401779603011637,103.423,13.489711151772434,243.5744847566314,725177042.0123297,749999852.1604117,0.14999997083171884
BGB 4 ¼ 03/28/2041 Corp,Kingdom of Belgium,0.0425,14.568104038329912,99.749,11.129661362310802,155.92694086456422,751887082.7989478,749999846.2211224,0.14999996964386098
EU 4 10/12/2055 REGS Corp,European Union,0.04,29.1088295687885,92.796,17.572514032400807,423.4377774213609,808224301.9313263,749999823.2201936,0.14999996504367522
LGB 1 ¾ 05/25/2042 REGS Corp,Grand Duchy of Luxembourg,0.0175,15.72621492128679,74.704,13.28823971192929,207.21952570559114,1003957187.8387808,749996177.6030827,0.14999923592025108
EU 0.7 07/06/2051 REGS Corp,European Union,0.007,24.840520191649556,45.373,21.268517360172382,513.0911441941411,1078404621.1969137,489304528.77567565,0.09786090601586045
DBR 2.9 08/15/2056 REGS Corp,Federal Republic of Germany,0.029,29.95208761122519,83.408,19.17594778501631,491.53879265788873,363274696.5959023,303000158.93671024,0.06060003194879531
BGB 3 ¾ 06/22/2045 REGS Corp,Kingdom of Belgium,0.0375,18.803559206023273,90.876,13.471105362257308,231.71709577273762,209095318.45673355,190017461.60074118,0.038003492421398805
RENTEN 3.676 10/12/2043 REGS Corp,Rentenbank,0.03675,17.1088295687885,96.92,12.495426642704366,196.35287734253941,144890184.030239,140427566.36210763,0.028085513347248185
DBR 0 08/15/2050 G REGS Corp,Federal Republic of Germany,0.0,23.95071868583162,40.714,23.17889272817591,559.6469459419646,312534454.2189829,127245277.6907167,0.02544905560594583
RAGB 1.85 05/23/2049 Corp,Republic of Austria,0.0185,22.72142368240931,68.056,17.453905561304207,372.0562560556139,11089.183520141407,7546.854736467435,1.5093709513148194e-06
NETHER 2 ¾ 01/15/2047 Corp,Kingdom of the Netherlands,0.0275,20.369609856262834,85.059,14.749375852103169,271.3013747656807,531.2273337997191,451.85665785670307,9.037133181211188e-08
NETHER 2 01/15/2054 Corp,Kingdom of the Netherlands,0.02,27.370294318959616,69.106,19.279419794124657,468.68320352092013,605.1931410598557,418.22477206082385,8.364495463501533e-08
DBR 2 ½ 08/15/2046 REGS Corp,Federal Republic of Germany,0.025,19.95071868583162,82.399,14.989629751460377,277.6268344098519,494.0348318109689,407.0797610639203,8.1415952429696e-08
DBR 1.8 08/15/2053 REGS Corp,Federal Republic of Germany,0.018,26.951403148528406,66.226,19.659179420261427,481.88967836399416,587.7525300767014,389.2449905685963,7.784899832112797e-08
ITALY 2.97 01/24/2044 REGS Corp,Republic of Italy,0.0297,17.39356605065024,106.707,12.941315597375436,206.4684075464904,159.64213230318762,170.34933011676242,3.4069866114122917e-08
