instrument,issuer,coupon,years_to_maturity,market_price_per_100,modified_duration,convexity,nominal_eur,eur_allocation,portfolio_weight
KFW 0.945 12/17/2040 Corp,KfW,0.00945,14.291581108829568,66.222,12.535364579998928,177.15504370960545,1132550534.053993,749997614.6612352,0.1499995303965129
ITALY 5.345 01/27/2048 Corp,Republic of Italy,0.05345,21.401779603011637,103.423,13.489711151772434,243.5744847566314,725173571.298764,749996262.6443207,0.14999925999311656
EU 4 10/12/2055 REGS Corp,European Union,0.04,29.1088295687885,92.796,17.572514032400807,423.4377774213609,808218516.4238192,749994454.5006473,0.14999889836436386
BGB 4 ¼ 03/28/2041 Corp,Kingdom of Belgium,0.0425,14.568104038329912,99.749,11.129661362310802,155.92694086456422,751881588.2657188,749994365.4791719,0.14999888056006788
LGB 1 ¾ 05/25/2042 REGS Corp,Grand Duchy of Luxembourg,0.0175,15.72621492128679,74.704,13.28823971192929,207.21952570559114,1003889545.613609,749945646.1551905,0.14998913669478675
EU 0.7 07/06/2051 REGS Corp,European Union,0.007,24.840520191649556,45.373,21.268517360172382,513.0911441941411,1260653870.8166802,571996480.8056523,0.1143993018538603
BGB 3 ¾ 06/22/2045 REGS Corp,Kingdom of Belgium,0.0375,18.803559206023273,90.876,13.471105362257308,231.71709577273762,230193132.47832423,209190311.07100195,0.04183806429614314
SYNTH STRIP 2061,STRIP 35y,0.0,35.0,31.473728788333343,33.837243322672514,1177.672150982824,560568101.0317062,176431683.79262966,0.03528633851444218
SYNTH STRIP 2066,STRIP 40y,0.0,40.0,27.29533917019311,38.67113522591144,1532.843117152247,447488187.7781076,122143418.6005851,0.024428684935735485
RENTEN 3.676 10/12/2043 REGS Corp,Rentenbank,0.03675,17.1088295687885,96.92,12.495426642704366,196.35287734253941,92923838.61497766,90061784.38563634,0.018012357773456923
DBR 0 08/15/2050 G REGS Corp,Federal Republic of Germany,0.0,23.95071868583162,40.714,23.17889272817591,559.6469459419646,114023805.82298279,46423652.30276921,0.009284730922579955
SYNTH STRIP 2071,STRIP 45y,0.0,45.0,23.67166424500828,43.50502712915037,1934.747105186068,135454444.24669263,32064321.247019015,0.006412864568520309
SYNTH STRIP 2076,STRIP 50y,0.0,50.0,20.529061193726108,48.338919032389306,2383.384115084287,8190839.28273631,1681502.4086326938,0.00033630049846150004
RAGB 1.85 05/23/2049 Corp,Republic of Austria,0.0185,22.72142368240931,68.056,17.453905561304207,372.0562560556139,36813.37156524289,25053.708152441697,5.010741879832517e-06
DBR 2.9 08/15/2056 REGS Corp,Federal Republic of Germany,0.029,29.95208761122519,83.408,19.17594778501631,491.53879265788873,22582.232066805806,18835.38812228139,3.7670778119133336e-06
NETHER 2 ¾ 01/15/2047 Corp,Kingdom of the Netherlands,0.0275,20.369609856262834,85.059,14.749375852103169,271.3013747656807,10593.501736949342,9010.72664243174,1.802145418164579e-06
DBR 2 ½ 08/15/2046 REGS Corp,Federal Republic of Germany,0.025,19.95071868583162,82.399,14.989629751460377,277.6268344098519,9957.009826746182,8204.476527140587,1.6408953870822358e-06
NETHER 2 01/15/2054 Corp,Kingdom of the Netherlands,0.02,27.370294318959616,69.106,19.279419794124657,468.68320352092013,10309.252815089658,7124.312250395858,1.4248625209830782e-06
DBR 1.8 08/15/2053 REGS Corp,Federal Republic of Germany,0.018,26.951403148528406,66.226,19.659179420261427,481.88967836399416,10195.019867994462,6751.7538577780115,1.3503508387516638e-06
ITALY 2.97 01/24/2044 REGS Corp,Republic of Italy,0.0297,17.39356605065024,106.707,12.941315597375436,206.4684075464904,3067.06243898037,3272.7703167627833,6.545540959244306e-07
