date,fi_bonds,equity,high_yield,rates_credit_idx,fx_hedge_residual,futures_overlay,irs_hedge,asset_pnl,liability_pnl,surplus_pnl,equity_ret
0,-1693534762.3165412,1390826239.9346375,25752359.882559948,-27724101.147939913,-201143625.00663987,-1000743582.7707527,0.0,-1506567471.4246762,-3375529301.0212264,1868961829.5965502,0.3023535304205734
1,-1770215362.8225992,52543205.01002154,-6271407.487777683,-4498759.530450215,-225000324.84860143,-63352638.7036715,0.0,-2016795288.3830783,-3588945469.1853204,1572150180.802242,0.011422435871743812
2,1781895130.673798,1886762668.596466,13441531.329265166,-21080902.214090433,12659491.69509146,-1217716843.5267246,0.0,2455961076.5538054,3285656076.190152,-829694999.6363468,0.4101657975209709
3,-485078858.2994334,579505556.0244011,6655759.853986843,-23853157.678355064,98649153.19250382,-232943154.94695103,0.0,-57064701.85384777,-840984267.2028637,783919565.349016,0.12597946870095675
4,-1758311196.4078727,-473557033.193651,6082382.461126786,-30080525.629130192,-211655306.40816495,461233588.82130855,0.0,-2006288090.3563838,-3577213417.7370596,1570925327.3806758,-0.10294718112905457
5,-1266588213.5747929,1181162876.3261952,25639892.649343167,5701262.891543008,-127999283.16110535,-922707468.9072767,0.0,-1104790933.7760935,-2342036557.2183685,1237245623.442275,0.2567745383317816
6,1555954050.512359,522980906.6820069,20365716.31924832,-1255923.520946309,347888913.86941624,-405909560.52543974,0.0,2040024103.3366446,2787563366.1469316,-747539262.810287,0.1136915014526102
7,659574265.7109414,14993144.191485377,-795100.8419102707,-8888364.237149993,-316725346.48665035,319769276.8951146,0.0,667927875.2318308,1120958750.73744,-453030875.5056093,0.0032593791720620384
8,-500519839.3545589,439243505.38976085,13623798.322229745,-30159937.940374292,104145227.44580075,-523094221.5098035,0.0,-496761467.6469453,-813001188.2974739,316239720.6505286,0.09548771856299149
9,1781895130.673798,1544759099.092798,-6701568.351952378,-14038206.042171927,187660969.9173918,-722943016.4637461,0.0,2770632408.826117,3285656076.190152,-515023667.3640351,0.3358171954549561
10,1772541463.20848,-394393802.9805812,-4037614.6116570174,2030240.58825786,44846304.22500001,127359583.90907587,0.0,1548346174.3385754,3248155575.9793386,-1699809401.6407633,-0.08573778325664809
11,-1770215362.8225992,72601144.34802465,6345237.235015076,-11126220.755359188,-199881489.67277476,101501181.60462841,0.0,-1800775510.063065,-3588945469.1853204,1788169959.1222553,0.01578285746696188
12,334835999.71434146,1342134326.5883958,7391880.605236055,1818034.9082002426,-325663393.5817574,-1054288444.3895265,0.0,306228403.8448895,591509838.9256744,-285281435.0807849,0.2917683318670426
13,1781895130.673798,-5889531.736432738,-2661575.251680108,16137416.730101358,70914581.71001956,70236365.27610748,0.0,1930632387.4019136,3285656076.190152,-1355023688.7882385,-0.00128033298618103
14,-869637854.0914495,171044830.12317383,11679429.420422846,8051826.524863481,-79056144.1952375,-48571662.02644144,0.0,-806489574.2446684,-1524770670.739686,718281096.4950176,0.0371836587224291
15,1781895130.673798,1195423900.0268078,4988386.521610841,-1128765.4116201266,62988624.249157414,-1358155938.8283982,0.0,1686011337.2313557,3285656076.190152,-1599644738.9587965,0.259874760875393
16,276359567.7785853,54253200.35453858,17226881.062459674,-25250723.857747886,183431948.81050834,-333172893.8730638,0.0,172847980.27528012,665286478.0817413,-492438497.8064612,0.011794173990117084
17,1781895130.673798,85662336.68170056,6929576.740190094,-20480384.71249852,44846304.22500001,-123694825.00187331,0.0,1775158138.6063168,3285656076.190152,-1510497937.5838354,0.018622247104717514
