date,fi_bonds,equity,high_yield,rates_credit_idx,fx_hedge_residual,futures_overlay,irs_hedge,asset_pnl,liability_pnl,surplus_pnl,equity_ret
0,-1770215362.8225992,1198402160.7754471,28819432.80445405,-30734797.384049404,-296947409.4053215,-831932518.6142218,0.0,-1702608494.6462908,-3588945469.1853204,1886336974.5390296,0.2605222088642276
1,-1711313492.9290211,23427526.725907307,-15684405.030589782,47721.381889471784,-220531563.05559018,-133563509.16336808,0.0,-2057617722.0707722,-3424471359.604135,1366853637.5333629,0.005092940592588545
2,1781895130.673798,1440316696.4946353,12977931.659002779,-23412735.27872312,53524602.90166104,-1078885355.5512013,0.0,2186416270.8991723,3285656076.190152,-1099239805.2909799,0.3131123253249207
3,-1106657833.766282,1011078906.7585713,6960411.827519202,-27910421.127998054,-17370342.634913225,-571250041.3571508,0.0,-705149320.3002536,-2018358038.633748,1313208718.3334944,0.21979976233881984
4,-1469596174.8664832,-509650388.9075019,-463017.8502867401,-22512525.66882806,-145142955.24531576,465911181.61285555,0.0,-1681453880.92556,-2765933917.521998,1084480036.596438,-0.11079356280597867
5,-797961167.4127322,1350289702.4002912,19326726.01835657,8870924.111215273,-88332208.1273731,-1011536946.5290837,0.0,-519342969.5393261,-1496299950.6366196,976956981.0972935,0.2935412396522372
6,1781895130.673798,421342880.1872798,19756789.36693524,-984781.1313027944,299247376.4205581,-306133812.3697683,0.0,2215123583.1475,3285656076.190152,-1070532493.0426521,0.09159627830158257
7,453860311.07455474,147949924.61616072,5660252.852377171,-242987.49452315885,-274739882.22413933,19902600.69916025,0.0,352390219.5235904,792938635.6965513,-440548416.17296094,0.03216302709046972
8,-790099988.6471003,1447382113.7135463,15877293.161029369,-27152735.274107102,84856756.14017233,-1677587724.7046826,0.0,-946724285.611142,-1354729422.8893757,408005137.27823365,0.3146482855899014
9,1781895130.673798,233103723.90010536,-13631174.204588419,-7876985.093074314,231976843.35424334,58585400.08720582,0.0,2284052938.71769,3285656076.190152,-1001603137.4724622,0.05067472258697943
10,1781895130.673798,450850804.58593446,786165.5934710487,-2592662.845572206,44846304.22500001,-598273141.6881902,0.0,1677512600.5444415,3285656076.190152,-1608143475.6457107,0.09801104447520315
11,-1770215362.8225992,169646830.12998447,10092259.427367667,-9733298.840581883,-151008558.38870504,41992710.02706355,0.0,-1709225420.4674704,-3588945469.1853204,1879720048.71785,0.036879745680431404
12,1709811917.6847384,1078655556.5023267,6718904.509339495,-648234.4932702428,-251985289.48858595,-926058189.5585672,0.0,1616494665.155981,3132229886.2088995,-1515735221.0529184,0.23449033837007102
13,1781895130.673798,-293680586.62558466,-6557366.003834554,13803125.733836943,209140212.8923533,338177495.0395001,0.0,2042778011.7100692,3285656076.190152,-1242878064.480083,-0.06384360578817058
14,-1770215362.8225992,348050785.4361502,11398443.989279585,4799369.758257785,-130390657.49329448,-273725581.4211906,0.0,-1810083002.5533967,-3588945469.1853204,1778862466.6319237,0.07566321422525005
15,1781895130.673798,630506060.8453633,4475743.227766166,631026.8897899012,45488937.40736055,-950753950.2169937,0.0,1512242948.827084,3285656076.190152,-1773413127.363068,0.13706653496638332
16,-266929912.57719907,500234200.16872466,10922923.212443065,-22344341.45845474,137656376.13675302,-666354358.4279557,0.0,-306815112.94568884,-351259570.88261795,44444457.93692911,0.10874656525407057
17,1781895130.673798,-189630152.42444122,10510075.589100119,-18265307.83721796,48592770.90801369,303045147.4845439,0.0,1936147664.3937964,3285656076.190152,-1349508411.7963557,-0.04122394617922635
18,1042887456.1315981,2060916867.6348314,24619038.21305678,-4877571.189550693,206985791.74236935,-1375468967.9154625,0.0,1955062614.6168418,1915655627.721284,39406986.89555788,0.44802540600757207
19,1683895181.529189,181938311.54468367,-5858105.889619984,-13481989.8871157,-80569846.61625111,-334880506.46252453,0.0,1431043044.2183614,3068973808.533078,-1637930764.3147168,0.03955180685753993
20,-959270915.6218234,177951049.85444504,16093529.041266054,-13363295.165044907,-135587509.98204237,-588633880.0192897,0.0,-1502811021.8924892,-1765785450.8244133,262974428.9319241,0.038685010837922834
21,1781895130.673798,574882915.200017,33838258.668273695,-31791828.685182996,71738873.30212694,-402865036.9947039,0.0,2027698312.164329,3285656076.190152,-1257957764.025823,0.12497454678261238
22,-24408643.58575338,1897735518.7239065,18246584.601122804,3624010.71300359,-184555136.01760626,-1448589471.1822288,0.0,262052863.2524445,69671438.2192707,192381425.0331738,0.41255119972258836
23,564440096.460817,1138906235.1783004,23390423.879482374,-7619896.2391312355,-210808683.1434015,-749207892.5804862,0.0,759100283.5555807,1093298706.47114,-334198422.9155592,0.2475883119952827
24,1781895130.673798,585231292.5021535,2691175.294642898,-15767657.91912397,44846304.22500001,-396669778.74954474,0.0,2002226466.0269256,3285656076.190152,-1283429610.1632266,0.12722419402220728
25,-693682551.8274512,-56772596.64755516,3490276.4610172254,-15120415.417126874,59431778.95612908,39885245.67543662,0.0,-662768262.7995503,-1226934958.5071783,564166695.707628,-0.012341868836425034
26,1781895130.673798,1033813407.5390124,31671100.59775231,-3288915.2360779094,254043579.83057964,-688676188.3769757,0.0,2409458115.028089,3285656076.190152,-876197961.1620631,0.2247420451171766
27,973818584.7189432,340096241.96274287,-2525009.570266222,-11247104.492462903,-95728349.56723285,-642086243.2552375,0.0,562328119.7964867,1769692684.6906776,-1207364564.8941908,0.07393396564407453
28,-100048089.14529637,-1136631701.3378203,-14152179.714073904,2000.9510130444542,-39109795.35749302,647493183.4619902,0.0,-642446581.1416801,-149342024.01241207,-493104557.12926805,-0.24709384811691745
