t_years,mv_total,contribution,pnl_half_year,loss_carry_forward,payout_policyholder,payout_policyholder_cum,retained_insurer,retained_insurer_cum,mv[DAX Index],mv[NASDAQ],mv[Bloomberg Asian Pacific Agg Ind],mv[MSCI World Index],mv[MSCI Europe Index],mv[Russell 2000 Index],mv[Dow Jones],mv[Bloomberg Commodity Index Gold],mv[MVIS Global Rare Earth],mv[MSCI World Health Care Index],mv[iShares MSCI Hong Kong ETF],mv[US Corporate High Yield index],mv[Bloomberg Pan-European High Yie],mv[Bloomberg Euro Treasury Bond In]
0.5,250000000.00000012,250000000.0,0.0,0.0,0.0,0.0,0.0,0.0,4999999.999999998,49999999.999999925,2500000.000000049,49999999.99999998,4999999.999999998,43750000.00000001,49999999.999999955,5000000.000000007,18749999.99999999,4999999.999999998,2500000.000000029,5000000.0000000885,5000000.0000000335,2500000.0000000237
1.0,501338364.23564893,250000000.0,13383642.356487125,0.0,12045278.120838413,12045278.120838413,1338364.2356487121,1338364.2356487121,10026767.28471297,100267672.8471296,5013383.642356586,100267672.84712972,10026767.28471297,87734213.74123855,100267672.84712966,10026767.284712989,37600377.31767364,10026767.28471297,5013383.642356546,10026767.284713151,10026767.284713043,5013383.6423565345
1.5,754022257.5822552,250000000.0,26838933.46606499,0.0,24155040.11945849,36200318.2402969,2683893.3466065004,4022257.5822552126,15080445.151645098,150804451.51645082,7540222.575822699,150804451.51645097,15080445.151645098,131953895.07689469,150804451.51645088,15080445.151645126,56551669.31866911,15080445.151645098,7540222.575822638,15080445.15164537,15080445.151645204,7540222.575822623
2.0,1008058883.2719802,250000000.0,40366256.89724791,0.0,36329631.20752313,72529949.44782004,4036625.6897247806,8058883.271979993,20161177.66543959,201611776.65439567,10080588.832719997,201611776.6543959,20161177.66543959,176410304.57259652,201611776.6543958,20161177.665439628,75604416.24539845,20161177.66543959,10080588.832719915,20161177.665439952,20161177.665439732,10080588.832719894
2.5,1263455483.0991771,250000000.0,53965998.271968246,0.0,48569398.44477143,121099347.89259148,5396599.827196814,13455483.099176807,25269109.66198352,252691096.61983493,12634554.830992013,252691096.61983523,25269109.66198352,221104709.54235595,252691096.61983508,25269109.66198357,94759161.23243819,25269109.66198352,12634554.83099191,25269109.661983978,25269109.6619837,12634554.830991885
3.0,1520219337.6268344,250000000.0,67638545.27656817,0.0,60874690.748911366,181974038.64150286,6763854.5276568085,20219337.626833618,30404386.752536662,304043867.5253663,15202193.376268635,304043867.52536666,30404386.752536662,266038384.08469597,304043867.5253665,30404386.75253672,114016450.32201247,30404386.752536662,15202193.376268514,30404386.75253721,30404386.752536878,15202193.376268482
3.5,1778357766.3941197,250000000.0,81384287.67285347,0.0,73245858.90556812,255219897.54707098,8138428.767285347,28357766.394118965,35567155.32788237,355671553.2788233,17783577.66394154,355671553.27882373,35567155.32788237,311212609.11897093,355671553.2788235,35567155.32788244,133376832.47955887,35567155.32788237,17783577.6639414,35567155.32788301,35567155.327882625,17783577.66394136
4.0,2037878128.1250396,250000000.0,95203617.30920148,0.0,85683255.57828133,340903153.1253523,9520361.73092015,37878128.125039116,40757562.56250077,407575625.6250072,20378781.28125079,407575625.6250076,40757562.56250077,356628672.4218819,407575625.62500745,40757562.56250084,152840859.60937786,40757562.56250077,20378781.281250626,40757562.5625015,40757562.56250105,20378781.281250585
4.5,2298787820.938214,250000000.0,109096928.1317327,0.0,98187235.31855942,439090388.44391173,10909692.81317328,48787820.938212395,45975756.41876423,459757564.18764186,22987878.209382575,459757564.1876424,45975756.41876423,402287868.6641873,459757564.1876421,45975756.41876432,172409086.57036588,45975756.41876423,22987878.209382392,45975756.41876507,45975756.41876456,22987878.209382344
5.0,2561094282.557769,250000000.0,123064616.19554138,0.0,110758154.57598723,549848543.019899,12306461.619554147,61094282.55776654,51221885.65115533,512218856.51155275,25610942.825578175,512218856.51155335,51221885.65115533,448191499.4476094,512218856.51155305,51221885.65115543,192082071.19183248,51221885.65115533,25610942.825577974,51221885.651156254,51221885.651155695,25610942.82557792
