date,fi_bonds,equity,high_yield,rates_credit_idx,fx_hedge_residual,futures_overlay,asset_pnl,liability_pnl,surplus_pnl
2017-09-15,-971969549.8755233,1081033308.343588,17307953.2639618,-4754710.563870565,-62221376.998500034,-395118227.2108301,-335722603.0411741,-1646168366.6746655,1310445763.6334913
2017-09-22,-972745917.5885125,1002851768.1387286,16556317.458326701,-1651747.9702710086,-64406875.58025004,-352213678.6726015,-371610134.2145798,-1647784388.622221,1276174254.4076412
2017-09-29,-1009300211.9528482,1061208461.8162193,16786769.15237078,-3175001.0350579387,-65522874.85950003,-366364368.6220413,-366367225.50085735,-1675719021.4997635,1309351795.9989061
2017-10-06,-932697334.0780041,1197021953.9659266,16735112.80936705,-6117653.891256699,-58664157.944250025,-405119131.0441483,-188841210.18236545,-1578140462.7029552,1389299252.5205898
2017-10-13,-970190592.777317,1286438531.0447407,16927848.41447922,-6834931.769675131,-67243352.12100002,-453967916.5854844,-194870413.79425672,-1642089455.132947,1447219041.3386903
2017-10-20,-1007392893.1996361,1283265478.3151495,16016189.570641285,-5095495.788559854,-69219603.86475003,-452142067.7655261,-234568392.73268127,-1671081324.0778217,1436512931.3451405
2017-10-27,-612584980.866498,1365429657.4254293,17105766.32724596,-2314032.772218693,-69800844.91350004,-467410228.5092489,230425336.6912096,-1250428848.3150911,1480854185.0063007
2017-11-03,-405371474.28886425,1499524264.087454,18946044.986751854,-683828.7024924188,-186.46499999703744,-533880080.95800394,578534738.6598451,-918351493.1324644,1496886231.7923095
2017-11-10,-291995508.4336664,1239733221.0585296,17461010.358779628,-4595386.038728965,-67522330.03350003,-465234326.66073537,427846680.2506784,-447154769.63632965,875001449.8870081
2017-11-17,-231245960.4299106,1176111367.134093,17862452.933957905,-4865415.808399175,-72869796.78600003,-455067605.3848663,429925041.6588748,-382474343.5720711,812399385.2309458
2017-11-24,-375982790.6414152,1153738746.848629,17567384.683316916,-5189683.774873348,-74009027.95350003,-452691708.70040405,263432920.46175337,-888714342.6587162,1152147263.1204696
2017-12-01,-257266467.7643162,1270716072.7931633,17285063.51593837,-4824593.541274665,-210.36599998219842,-485089587.6976388,540820276.939872,-690795807.9247427,1231616084.8646147
2017-12-08,-1013336069.8419839,1035093100.5738834,14925173.520216197,-2922474.7619845774,-60756624.90600001,-409450492.0119072,-436447387.4277761,-1684301739.2883587,1247854351.8605826
2017-12-15,-45958092.41997745,1141321139.047097,14230522.716329575,-3982592.0637318706,-77821988.42850006,-433591301.2754027,594197687.5758145,-72795803.77086163,666993491.3466761
2017-12-22,-180698498.8314747,1187619809.0379493,13892017.72978386,-7206192.3835912375,-79100736.68475002,-445108148.82187366,489398250.04604363,-304635646.0414629,794033896.0875065
2017-12-29,-190526669.4843072,1237534336.7830002,13747499.827362455,-7929111.087959407,-79286737.87050003,-462608353.0338862,510930965.1337099,-320156257.0816555,831087222.2153654
2018-01-05,-104202855.56145455,1304871827.359898,13690292.313140938,-6862205.7799330065,-41231550.000000015,-481773316.134822,684492192.1968294,-138010918.66607475,822503110.8629042
2018-01-12,-192972013.35980955,1357208482.7813716,13411328.932950001,-6210110.780851808,-120811229.12850007,-510719538.3144222,539906920.1307378,-288677910.4784641,828584830.6092019
2018-01-19,-124562894.67823032,1411093164.7235904,13492087.841957852,-4581576.324052371,-84290121.92100005,-547922544.8895209,663228114.7527447,-170643038.8739071,833871153.6266518
2018-01-26,-100551320.84155688,1415828248.6512246,13139994.87902803,-5933466.792539769,-85471215.17850006,-568230942.8354363,668781297.8822198,-130404953.73529434,799186251.6175141
2018-02-02,-216391780.73339725,1180046456.241604,11579666.385545563,-4394625.368956588,-34828500.000000015,-466277672.23665166,469733544.28814423,-336395306.7304449,806128851.0185891
2018-02-09,28640483.77319833,820141904.1279844,8698636.275418244,-728355.706469465,-44640000.00000001,-299351962.57253313,512760705.8975985,47600511.83568764,465160194.06191087
2018-02-16,-240953961.29709956,971854502.7504158,9192378.545080643,-2374656.474564138,-88182147.04350005,-377480533.6237393,272055582.8565933,-374582077.8463888,646637660.7029822
2018-02-23,-283242410.75328374,1009285859.3788757,8007720.216217041,-75244.12518269074,-89656193.32350005,-374974467.62277293,269345263.7703533,-447690511.8697777,717035775.640131
2018-03-02,-55015414.31582036,891839336.8387359,7387964.394457594,-221453.2623019854,-29290350.00000001,-299612759.4673818,515087324.18768936,-96769844.24145126,611857168.4291406
2018-03-09,118153431.0374411,1129000516.405739,10052449.262790736,-1680262.9637434296,-46662750.00000001,-378091750.2762903,830771633.465937,157357073.40630913,673414560.0596279
