date,fi_bonds,equity,high_yield,rates_credit_idx,fx_hedge_residual,futures_overlay,irs_hedge,asset_pnl,liability_pnl,surplus_pnl
2017-09-15,-898804729.1194324,1081033308.343588,17307953.2639618,-4754710.563870565,-62221376.998500034,-237070936.32649806,-396719897.3289432,-501230388.7296944,-1646168366.6746655,1144937977.944971
2017-09-22,-899569770.8942626,1002851768.1387286,16556317.458326701,-1651747.9702710086,-64406875.58025004,-211328207.20356092,-397442214.76009166,-554990730.8113809,-1647784388.622221,1092793657.8108401
2017-09-29,-935571894.3391122,1061208461.8162193,16786769.15237078,-3175001.0350579387,-65522874.85950003,-219818621.17322478,-423397556.3497007,-569490716.7880055,-1675719021.4997635,1106228304.7117581
2017-10-06,-863296138.6898664,1197021953.9659266,16735112.80936705,-6117653.891256699,-58664157.944250025,-243071478.626489,-380936445.9907022,-338328808.3672707,-1578140462.7029552,1239811654.3356845
2017-10-13,-896732844.7499605,1286438531.0447407,16927848.41447922,-6834931.769675131,-67243352.12100002,-272380749.95129067,-394622865.3087743,-334448364.44148076,-1642089455.132947,1307641090.6914663
2017-10-20,-933261475.0697533,1283265478.3151495,16016189.570641285,-5095495.788559854,-69219603.86475003,-271285240.65931565,-421369760.4624587,-400949907.9590467,-1671081324.0778217,1270131416.118775
2017-10-27,-663372079.8410095,1365429657.4254293,17105766.32724596,-2314032.772218693,-69800844.91350004,-280446137.10554934,-364889571.7177411,1712757.4026566148,-1250428848.3150911,1252141605.7177477
2017-11-03,-478233030.4771923,1499524264.087454,18946044.986751854,-683828.7024924188,-186.46499999703744,-320328048.57480234,-292490524.84584373,426734690.0088752,-918351493.1324644,1345086183.1413395
2017-11-10,-273063008.09435743,1239733221.0585296,17461010.358779628,-4595386.038728965,-67522330.03350003,-279140595.9964412,-118150019.5980227,514722891.6562588,-447154769.63632965,961877661.2925885
2017-11-17,-213044212.35831586,1176111367.134093,17862452.933957905,-4865415.808399175,-72869796.78600003,-273040563.2309198,-80993328.96936955,549160502.9150466,-382474343.5720711,931634846.4871176
2017-11-24,-391665201.2328023,1153738746.848629,17567384.683316916,-5189683.774873348,-74009027.95350003,-271615025.22024244,-332643221.86797374,96183971.48255408,-888714342.6587162,984898314.1412703
2017-12-01,-281613035.3523316,1270716072.7931633,17285063.51593837,-4824593.541274665,-210.36599998219842,-291053752.61858326,-285694005.99968004,424815538.4312322,-690795807.9247427,1115611346.355975
2017-12-08,-939934554.1597141,1035093100.5738834,14925173.520216197,-2922474.7619845774,-60756624.90600001,-245670295.20714432,-428147334.1734177,-627413009.114161,-1684301739.2883587,1056888730.1741977
2017-12-15,-41466316.6905806,1141321139.047097,14230522.716329575,-3982592.0637318706,-77821988.42850006,-260154780.76524165,-13676549.565671615,758449434.2497008,-72795803.77086163,831245238.0205624
2017-12-22,-167950010.6987463,1187619809.0379493,13892017.72978386,-7206192.3835912375,-79100736.68475002,-267064889.29312417,-69646165.46373749,610543832.243784,-304635646.0414629,915179478.2852468
2017-12-29,-176961751.6611111,1237534336.7830002,13747499.827362455,-7929111.087959407,-79286737.87050003,-277565011.8203317,-74748244.09165555,634790980.078805,-320156257.0816555,954947237.1604605
2018-01-05,-103074171.31165774,1304871827.359898,13690292.313140938,-6862205.7799330065,-41231550.000000015,-289063989.6808932,-72377627.46561342,805952575.4349418,-138010918.66607475,943963494.1010165
2018-01-12,-184610880.62200126,1357208482.7813716,13411328.932950001,-6210110.780851808,-120811229.12850007,-306431722.9886533,-97276564.72681175,655279303.4675034,-288677910.4784641,943957213.9459676
2018-01-19,-119587275.08281541,1411093164.7235904,13492087.841957852,-4581576.324052371,-84290121.92100005,-328753526.93371254,-65614122.84162907,821758629.4623389,-170643038.8739071,992401668.336246
2018-01-26,-97990421.49648954,1415828248.6512246,13139994.87902803,-5933466.792539769,-85471215.17850006,-340938565.7012618,-66049284.58685064,832585289.7746108,-130404953.73529434,962990243.5099051
2018-02-02,-210262127.57050765,1180046456.241604,11579666.385545563,-4394625.368956588,-34828500.000000015,-279766603.341991,-131005792.12969016,531368474.2160044,-336395306.7304449,867763780.9464493
2018-02-09,25588266.64628285,820141904.1279844,8698636.275418244,-728355.706469465,-44640000.00000001,-179611177.54351988,3528805.9173111287,632978079.7170073,47600511.83568764,585377567.8813196
2018-02-16,-232276354.49454278,971854502.7504158,9192378.545080643,-2374656.474564138,-88182147.04350005,-226488320.17424357,-139292439.0473736,292432964.0612722,-374582077.8463888,667015041.907661
2018-02-23,-271574736.6157738,1009285859.3788757,8007720.216217041,-75244.12518269074,-89656193.32350005,-224984680.57366377,-147524578.90364248,283478146.05332994,-447690511.8697777,731168657.9231076
2018-03-02,-52232337.33301481,891839336.8387359,7387964.394457594,-221453.2623019854,-29290350.00000001,-179767655.68042904,-23766781.765059106,613948723.1923884,-96769844.24145126,710718567.4338397
2018-03-09,112605309.4534127,1129000516.405739,10052449.262790736,-1680262.9637434296,-46662750.00000001,-226855050.16577417,54696793.78856215,1031157005.7809871,157357073.40630913,873799932.374678
2018-03-16,-110194766.45187616,1029417953.341175,9407755.759890422,727513.9320648392,-38678700.000000015,-200709899.73592186,-70277788.39526275,619692068.4500695,-151376102.08099174,771068170.5310613
2018-03-23,-108641992.88283367,792629597.5833585,8830773.499647316,-770063.6952942822,-38615925.00000002,-142604710.12726235,-70355618.1877181,440472061.18989736,-149370867.08669567,589842928.276593
