date,fi_bonds,equity,high_yield,rates_credit_idx,fx_hedge_residual,futures_overlay,irs_hedge,asset_pnl,liability_pnl,surplus_pnl
2017-09-15,-971969549.8755233,1081033308.343588,17307953.2639618,-4754710.563870565,-62221376.998500034,0.0,-396719897.3289432,-337324273.1592872,-1646168366.6746655,1308844093.5153782
2017-09-22,-972745917.5885125,1002851768.1387286,16556317.458326701,-1651747.9702710086,-64406875.58025004,0.0,-397442214.76009166,-416838670.3020699,-1647784388.622221,1230945718.320151
2017-09-29,-1009300211.9528482,1061208461.8162193,16786769.15237078,-3175001.0350579387,-65522874.85950003,0.0,-423397556.3497007,-423400413.22851676,-1675719021.4997635,1252318608.2712467
2017-10-06,-932697334.0780041,1197021953.9659266,16735112.80936705,-6117653.891256699,-58664157.944250025,0.0,-380936445.9907022,-164658525.12891933,-1578140462.7029552,1413481937.574036
2017-10-13,-970190592.777317,1286438531.0447407,16927848.41447922,-6834931.769675131,-67243352.12100002,0.0,-394622865.3087743,-135525362.51754662,-1642089455.132947,1506564092.6154003
2017-10-20,-1007392893.1996361,1283265478.3151495,16016189.570641285,-5095495.788559854,-69219603.86475003,0.0,-421369760.4624587,-203796085.4296139,-1671081324.0778217,1467285238.648208
2017-10-27,-612584980.866498,1365429657.4254293,17105766.32724596,-2314032.772218693,-69800844.91350004,0.0,-364889571.7177411,332945993.48271745,-1250428848.3150911,1583374841.7978086
2017-11-03,-405371474.28886425,1499524264.087454,18946044.986751854,-683828.7024924188,-186.46499999703744,0.0,-292490524.84584373,819924294.7720053,-918351493.1324644,1738275787.9044697
2017-11-10,-291995508.4336664,1239733221.0585296,17461010.358779628,-4595386.038728965,-67522330.03350003,0.0,-118150019.5980227,774930987.3133911,-447154769.63632965,1222085756.9497209
2017-11-17,-231245960.4299106,1176111367.134093,17862452.933957905,-4865415.808399175,-72869796.78600003,0.0,-80993328.96936955,803999318.0743716,-382474343.5720711,1186473661.6464427
2017-11-24,-375982790.6414152,1153738746.848629,17567384.683316916,-5189683.774873348,-74009027.95350003,0.0,-332643221.86797374,383481407.2941837,-888714342.6587162,1272195749.9529
2017-12-01,-257266467.7643162,1270716072.7931633,17285063.51593837,-4824593.541274665,-210.36599998219842,0.0,-285694005.99968004,740215858.6378309,-690795807.9247427,1431011666.5625734
2017-12-08,-1013336069.8419839,1035093100.5738834,14925173.520216197,-2922474.7619845774,-60756624.90600001,0.0,-428147334.1734177,-455144229.58928657,-1684301739.2883587,1229157509.6990721
2017-12-15,-45958092.41997745,1141321139.047097,14230522.716329575,-3982592.0637318706,-77821988.42850006,0.0,-13676549.565671615,1014112439.2855456,-72795803.77086163,1086908243.0564072
2017-12-22,-180698498.8314747,1187619809.0379493,13892017.72978386,-7206192.3835912375,-79100736.68475002,0.0,-69646165.46373749,864860233.4041798,-304635646.0414629,1169495879.4456427
2017-12-29,-190526669.4843072,1237534336.7830002,13747499.827362455,-7929111.087959407,-79286737.87050003,0.0,-74748244.09165555,898791074.0759406,-320156257.0816555,1218947331.157596
2018-01-05,-104202855.56145455,1304871827.359898,13690292.313140938,-6862205.7799330065,-41231550.000000015,0.0,-72377627.46561342,1093887880.866038,-138010918.66607475,1231898799.5321128
2018-01-12,-192972013.35980955,1357208482.7813716,13411328.932950001,-6210110.780851808,-120811229.12850007,0.0,-97276564.72681175,953349893.7183483,-288677910.4784641,1242027804.1968124
2018-01-19,-124562894.67823032,1411093164.7235904,13492087.841957852,-4581576.324052371,-84290121.92100005,0.0,-65614122.84162907,1145536536.8006365,-170643038.8739071,1316179575.6745436
2018-01-26,-100551320.84155688,1415828248.6512246,13139994.87902803,-5933466.792539769,-85471215.17850006,0.0,-66049284.58685064,1170962956.1308055,-130404953.73529434,1301367909.8660998
2018-02-02,-216391780.73339725,1180046456.241604,11579666.385545563,-4394625.368956588,-34828500.000000015,0.0,-131005792.12969016,805005424.3951057,-336395306.7304449,1141400731.1255507
2018-02-09,28640483.77319833,820141904.1279844,8698636.275418244,-728355.706469465,-44640000.00000001,0.0,3528805.9173111287,815641474.3874427,47600511.83568764,768040962.5517551
2018-02-16,-240953961.29709956,971854502.7504158,9192378.545080643,-2374656.474564138,-88182147.04350005,0.0,-139292439.0473736,510243677.432959,-374582077.8463888,884825755.2793479
