date,fi_bonds,equity,high_yield,rates_credit_idx,fx_hedge_residual,futures_overlay,irs_hedge,asset_pnl,liability_pnl,surplus_pnl
2017-09-15,-898804729.1194324,1081033308.343588,17307953.2639618,-4754710.563870565,-62221376.998500034,-109251637.30150738,0.0,23308807.62423946,-1646168366.6746655,1669477174.298905
2017-09-22,-899569770.8942626,1002851768.1387286,16556317.458326701,-1651747.9702710086,-64406875.58025004,-97388372.4539904,0.0,-43608681.30171868,-1647784388.622221,1604175707.3205023
2017-09-29,-935571894.3391122,1061208461.8162193,16786769.15237078,-3175001.0350579387,-65522874.85950003,-101301090.06470534,0.0,-27575629.329785347,-1675719021.4997635,1648143392.1699781
2017-10-06,-863296138.6898664,1197021953.9659266,16735112.80936705,-6117653.891256699,-58664157.944250025,-112016923.84877147,0.0,173662192.4011491,-1578140462.7029552,1751802655.1041043
2017-10-13,-896732844.7499605,1286438531.0447407,16927848.41447922,-6834931.769675131,-67243352.12100002,-125523792.00378956,0.0,207031458.81479466,-1642089455.132947,1849120913.9477415
2017-10-20,-933261475.0697533,1283265478.3151495,16016189.570641285,-5095495.788559854,-69219603.86475003,-125018938.11624913,0.0,166686155.0464785,-1671081324.0778217,1837767479.1243002
2017-10-27,-663372079.8410095,1365429657.4254293,17105766.32724596,-2314032.772218693,-69800844.91350004,-129240640.49533036,0.0,517807825.7306167,-1250428848.3150911,1768236674.0457077
2017-11-03,-478233030.4771923,1499524264.087454,18946044.986751854,-683828.7024924188,-186.46499999703744,-147619798.20333764,0.0,891933465.2261835,-918351493.1324644,1810284958.3586478
2017-11-10,-273063008.09435743,1239733221.0585296,17461010.358779628,-4595386.038728965,-67522330.03350003,-128638995.66300872,0.0,783374511.5877141,-447154769.63632965,1230529281.2240438
2017-11-17,-213044212.35831586,1176111367.134093,17862452.933957905,-4865415.808399175,-72869796.78600003,-125827859.98542304,0.0,777366535.1299129,-382474343.5720711,1159840878.701984
2017-11-24,-391665201.2328023,1153738746.848629,17567384.683316916,-5189683.774873348,-74009027.95350003,-125170915.84829971,0.0,575271302.7224705,-888714342.6587162,1463985645.3811867
2017-12-01,-281613035.3523316,1270716072.7931633,17285063.51593837,-4824593.541274665,-210.36599998219842,-134129048.07755618,0.0,867434248.9719393,-690795807.9247427,1558230056.896682
2017-12-08,-939934554.1597141,1035093100.5738834,14925173.520216197,-2922474.7619845774,-60756624.90600001,-113214561.02388209,0.0,-66809940.757481165,-1684301739.2883587,1617491798.5308776
2017-12-15,-41466316.6905806,1141321139.047097,14230522.716329575,-3982592.0637318706,-77821988.42850006,-119889583.22277698,0.0,912391181.357837,-72795803.77086163,985186985.1286986
2017-12-22,-167950010.6987463,1187619809.0379493,13892017.72978386,-7206192.3835912375,-79100736.68475002,-123074033.76024209,0.0,824180853.2404035,-304635646.0414629,1128816499.2818666
2017-12-29,-176961751.6611111,1237534336.7830002,13747499.827362455,-7929111.087959407,-79286737.87050003,-127912904.3351825,0.0,859191331.6556097,-320156257.0816555,1179347588.737265
2018-01-05,-103074171.31165774,1304871827.359898,13690292.313140938,-6862205.7799330065,-41231550.000000015,-133212086.84159467,0.0,1034182105.7398536,-138010918.66607475,1172193024.4059284
2018-01-12,-184610880.62200126,1357208482.7813716,13411328.932950001,-6210110.780851808,-120811229.12850007,-141215823.3159616,0.0,917771767.8670069,-288677910.4784641,1206449678.345471
2018-01-19,-119587275.08281541,1411093164.7235904,13492087.841957852,-4581576.324052371,-84290121.92100005,-151502590.92362127,0.0,1064623688.3140591,-170643038.8739071,1235266727.1879663
2018-01-26,-97990421.49648954,1415828248.6512246,13139994.87902803,-5933466.792539769,-85471215.17850006,-157117937.35353413,0.0,1082455202.709189,-130404953.73529434,1212860156.4444833
2018-02-02,-210262127.57050765,1180046456.241604,11579666.385545563,-4394625.368956588,-34828500.000000015,-128927484.53694598,0.0,813213385.1507396,-336395306.7304449,1149608691.8811846
2018-02-09,25588266.64628285,820141904.1279844,8698636.275418244,-728355.706469465,-44640000.00000001,-82771914.29849677,0.0,726288537.0447193,47600511.83568764,678688025.2090317
2018-02-16,-232276354.49454278,971854502.7504158,9192378.545080643,-2374656.474564138,-88182147.04350005,-104374750.4106787,0.0,553838972.8722106,-374582077.8463888,928421050.7185994
2018-02-23,-271574736.6157738,1009285859.3788757,8007720.216217041,-75244.12518269074,-89656193.32350005,-103681813.98067917,0.0,552305591.549957,-447690511.8697777,999996103.4197347
2018-03-02,-52232337.33301481,891839336.8387359,7387964.394457594,-221453.2623019854,-29290350.00000001,-82844025.59532681,0.0,734639135.0425498,-96769844.24145126,831408979.2840011
2018-03-09,112605309.4534127,1129000516.405739,10052449.262790736,-1680262.9637434296,-46662750.00000001,-104543754.05424261,0.0,1098771508.1039565,157357073.40630913,941414434.6976473
2018-03-16,-110194766.45187616,1029417953.341175,9407755.759890422,727513.9320648392,-38678700.000000015,-92495037.59740248,0.0,798184718.9838517,-151376102.08099174,949560821.0648434
2018-03-23,-108641992.88283367,792629597.5833585,8830773.499647316,-770063.6952942822,-38615925.00000002,-65717874.614767216,0.0,587714514.8901106,-149370867.08669567,737085381.9768063
2018-03-30,-119147597.08997107,809855485.898298,7706874.685300987,771101.2391161236,-38548500.00000002,-73126865.04513605,0.0,587510499.6876079,-171077617.91023636,758588117.5978442
2018-04-06,35042343.246489964,757434733.6579367,7705772.733348766,-358682.53444676776,-40176000.00000001,-71443922.29738541,0.0,688204244.8059433,65128828.671627045,623075416.1343162
2018-04-13,-196149755.36230016,953601546.2675217,8946164.587182783,276405.4501195019,-42363825.000000015,-89096932.73428921,0.0,635213603.2082347,-312743198.68614197,947956801.8943766
2018-04-20,-197736048.1306951,946269335.9816654,8140152.287334662,664777.1350175892,-45128250.00000001,-88962230.9629958,0.0,623247736.3103268,-310692462.59589386,933940198.9062207
