date,fi_bonds,equity,high_yield,rates_credit_idx,fx_hedge_residual,futures_overlay,irs_hedge,asset_pnl,liability_pnl,surplus_pnl
2017-09-15,-898804729.1194324,1136475343.0417047,18195611.52389486,-4998561.355540926,-65412471.774109855,0.0,0.0,185455192.31651628,-1646168366.6746655,1831623558.9911819
2017-09-22,-899569770.8942626,1054284172.7622348,17405427.212774564,-1736459.7618259112,-67710056.16049407,0.0,0.0,102673313.15842684,-1647784388.622221,1750457701.7806478
2017-09-29,-935571894.3391122,1115633756.49294,17647697.886602905,-3337834.609373939,-68883290.7444157,0.0,0.0,125488434.68664107,-1675719021.4997635,1801207456.1864045
2017-10-06,-863296138.6898664,1258412599.5584054,17593392.288725078,-6431404.796702733,-61672816.65548297,0.0,0.0,344605631.70507836,-1578140462.7029552,1922746094.4080336
2017-10-13,-896732844.7499605,1352415008.4804456,17796012.560686752,-7185469.094851744,-70692004.65810135,0.0,0.0,395600702.53821874,-1642089455.132947,2037690157.6711657
2017-10-20,-933261475.0697533,1349079222.0976224,16837598.24607581,-5356824.141842797,-72769610.74209559,0.0,0.0,354528910.39000654,-1671081324.0778217,2025610234.4678283
2017-10-27,-663372079.8410095,1435457285.4925168,17983055.19793413,-2432710.6004222534,-73380661.40553927,0.0,0.0,714254888.8434799,-1250428848.3150911,1964683737.158571
2017-11-03,-478233030.4771923,1576429088.0540626,19917714.66190465,-718899.6428219497,-196.02807166192483,0.0,0.0,1117394676.5678813,-918351493.1324644,2035746169.7003458
2017-11-10,-273063008.09435743,1303314363.0343037,18356518.327594172,-4831065.689156051,-70985290.27322757,0.0,0.0,972791517.3051567,-447154769.63632965,1419946286.9414864
2017-11-17,-213044212.35831586,1236429589.266776,18778549.34626494,-5114944.245671246,-76607007.99926457,0.0,0.0,960441974.0097893,-382474343.5720711,1342916317.5818605
2017-11-24,-391665201.2328023,1212909563.4568186,18468348.1815277,-5455842.667201697,-77804665.94550508,0.0,0.0,756452201.7928374,-888714342.6587162,1645166544.4515536
2017-12-01,-281613035.3523316,1335886205.9014592,18171547.848857015,-5072028.361696167,-221.15486187969887,0.0,0.0,1067372468.8814266,-690795807.9247427,1758168276.8061693
2017-12-08,-939934554.1597141,1088179038.9579008,15690628.184560578,-3072357.2363799196,-63872598.18839612,0.0,0.0,96990157.55797118,-1684301739.2883587,1781291896.84633
2017-12-15,-41466316.6905806,1199855104.3785622,14960351.41644611,-4186843.8714066856,-81813178.47734354,0.0,0.0,1087349116.7556775,-72795803.77086163,1160144920.526539
2017-12-22,-167950010.6987463,1248528254.8301904,14604485.812919676,-7575770.235715462,-83157508.80645473,0.0,0.0,1004449450.9021937,-304635646.0414629,1309085096.9436564
2017-12-29,-176961751.6611111,1301002706.4534626,14452556.143905416,-8335764.65605108,-83353049.27662331,0.0,0.0,1046804697.0035825,-320156257.0816555,1366960954.085238
2018-01-05,-103074171.31165774,1371793677.5662832,14392414.676618824,-7214141.884047699,-43346157.39286545,0.0,0.0,1232551621.6543312,-138010918.66607475,1370562540.320406
2018-01-12,-184610880.62200126,1426814478.4654815,14099144.339107811,-6528603.444060019,-127007171.75632475,0.0,0.0,1122766966.9822032,-288677910.4784641,1411444877.4606674
2018-01-19,-119587275.08281541,1483462698.2033255,14184045.061509235,-4816547.727402921,-88613037.62413697,0.0,0.0,1284629882.8304794,-170643038.8739071,1455272921.7043865
2018-01-26,-97990421.49648954,1488440626.3480513,13813894.606625138,-6237771.4511040505,-89854704.60573836,0.0,0.0,1308171623.4013443,-130404953.73529434,1438576577.1366386
2018-02-02,-210262127.57050765,1240566493.9382987,12173542.874442779,-4620008.777876931,-36614719.62022806,0.0,0.0,1001243180.8441288,-336395306.7304449,1337638487.5745738
2018-02-09,25588266.64628285,862203823.5481315,9144755.82648646,-765710.2653336372,-46929413.665445834,0.0,0.0,849241722.0901214,47600511.83568764,801641210.2544338
2018-02-16,-232276354.49454278,1021697177.0206188,9663820.23547174,-2496443.458963925,-92704669.72472186,0.0,0.0,703883529.577862,-374582077.8463888,1078465607.4242508
2018-02-23,-271574736.6157738,1061048243.7606686,8418405.343727661,-79103.10655450431,-94254314.16101512,0.0,0.0,703558495.2210529,-447690511.8697777,1151249007.0908306
2018-03-02,-52232337.33301481,937578341.4341826,7766864.632909618,-232810.74718038552,-30792539.237358686,0.0,0.0,862087518.7495384,-96769844.24145126,958857362.9909897
