date,fi_bonds,equity,high_yield,rates_credit_idx,fx_hedge_residual,futures_overlay,irs_hedge,asset_pnl,liability_pnl,surplus_pnl
2017-09-15,-898804729.1194324,1081033308.343588,17307953.2639618,-4754710.563870565,-62221376.998500034,0.0,0.0,132560444.92574684,-1646168366.6746655,1778728811.6004124
2017-09-22,-899569770.8942626,1002851768.1387286,16556317.458326701,-1651747.9702710086,-64406875.58025004,0.0,0.0,53779691.15227172,-1647784388.622221,1701564079.7744927
2017-09-29,-935571894.3391122,1061208461.8162193,16786769.15237078,-3175001.0350579387,-65522874.85950003,0.0,0.0,73725460.73492,-1675719021.4997635,1749444482.2346835
2017-10-06,-863296138.6898664,1197021953.9659266,16735112.80936705,-6117653.891256699,-58664157.944250025,0.0,0.0,285679116.24992055,-1578140462.7029552,1863819578.9528759
2017-10-13,-896732844.7499605,1286438531.0447407,16927848.41447922,-6834931.769675131,-67243352.12100002,0.0,0.0,332555250.8185842,-1642089455.132947,1974644705.9515312
2017-10-20,-933261475.0697533,1283265478.3151495,16016189.570641285,-5095495.788559854,-69219603.86475003,0.0,0.0,291705093.16272765,-1671081324.0778217,1962786417.2405493
2017-10-27,-663372079.8410095,1365429657.4254293,17105766.32724596,-2314032.772218693,-69800844.91350004,0.0,0.0,647048466.225947,-1250428848.3150911,1897477314.541038
2017-11-03,-478233030.4771923,1499524264.087454,18946044.986751854,-683828.7024924188,-186.46499999703744,0.0,0.0,1039553263.4295212,-918351493.1324644,1957904756.5619855
2017-11-10,-273063008.09435743,1239733221.0585296,17461010.358779628,-4595386.038728965,-67522330.03350003,0.0,0.0,912013507.2507228,-447154769.63632965,1359168276.8870525
2017-11-17,-213044212.35831586,1176111367.134093,17862452.933957905,-4865415.808399175,-72869796.78600003,0.0,0.0,903194395.115336,-382474343.5720711,1285668738.687407
2017-11-24,-391665201.2328023,1153738746.848629,17567384.683316916,-5189683.774873348,-74009027.95350003,0.0,0.0,700442218.5707703,-888714342.6587162,1589156561.2294865
2017-12-01,-281613035.3523316,1270716072.7931633,17285063.51593837,-4824593.541274665,-210.36599998219842,0.0,0.0,1001563297.0494955,-690795807.9247427,1692359104.9742382
2017-12-08,-939934554.1597141,1035093100.5738834,14925173.520216197,-2922474.7619845774,-60756624.90600001,0.0,0.0,46404620.266400926,-1684301739.2883587,1730706359.5547595
2017-12-15,-41466316.6905806,1141321139.047097,14230522.716329575,-3982592.0637318706,-77821988.42850006,0.0,0.0,1032280764.580614,-72795803.77086163,1105076568.3514757
2017-12-22,-167950010.6987463,1187619809.0379493,13892017.72978386,-7206192.3835912375,-79100736.68475002,0.0,0.0,947254887.0006456,-304635646.0414629,1251890533.0421085
2017-12-29,-176961751.6611111,1237534336.7830002,13747499.827362455,-7929111.087959407,-79286737.87050003,0.0,0.0,987104235.9907923,-320156257.0816555,1307260493.0724478
2018-01-05,-103074171.31165774,1304871827.359898,13690292.313140938,-6862205.7799330065,-41231550.000000015,0.0,0.0,1167394192.5814483,-138010918.66607475,1305405111.247523
2018-01-12,-184610880.62200126,1357208482.7813716,13411328.932950001,-6210110.780851808,-120811229.12850007,0.0,0.0,1058987591.1829685,-288677910.4784641,1347665501.6614327
2018-01-19,-119587275.08281541,1411093164.7235904,13492087.841957852,-4581576.324052371,-84290121.92100005,0.0,0.0,1216126279.2376804,-170643038.8739071,1386769318.1115875
2018-01-26,-97990421.49648954,1415828248.6512246,13139994.87902803,-5933466.792539769,-85471215.17850006,0.0,0.0,1239573140.0627232,-130404953.73529434,1369978093.7980175
