date,fi_bonds,equity,high_yield,rates_credit_idx,fx_hedge_residual,futures_overlay,irs_hedge,asset_pnl,liability_pnl,surplus_pnl
2017-09-15,-898804729.1194324,0.0,0.0,0.0,0.0,0.0,0.0,-898804729.1194324,-1646168366.6746655,747363637.555233
2017-09-22,-899569770.8942626,0.0,0.0,0.0,0.0,0.0,0.0,-899569770.8942626,-1647784388.622221,748214617.7279584
2017-09-29,-935571894.3391122,0.0,0.0,0.0,0.0,0.0,0.0,-935571894.3391122,-1675719021.4997635,740147127.1606513
2017-10-06,-863296138.6898664,0.0,0.0,0.0,0.0,0.0,0.0,-863296138.6898664,-1578140462.7029552,714844324.0130888
2017-10-13,-896732844.7499605,0.0,0.0,0.0,0.0,0.0,0.0,-896732844.7499605,-1642089455.132947,745356610.3829864
2017-10-20,-933261475.0697533,0.0,0.0,0.0,0.0,0.0,0.0,-933261475.0697533,-1671081324.0778217,737819849.0080684
2017-10-27,-663372079.8410095,0.0,0.0,0.0,0.0,0.0,0.0,-663372079.8410095,-1250428848.3150911,587056768.4740816
2017-11-03,-478233030.4771923,0.0,0.0,0.0,0.0,0.0,0.0,-478233030.4771923,-918351493.1324644,440118462.6552721
2017-11-10,-273063008.09435743,0.0,0.0,0.0,0.0,0.0,0.0,-273063008.09435743,-447154769.63632965,174091761.54197222
2017-11-17,-213044212.35831586,0.0,0.0,0.0,0.0,0.0,0.0,-213044212.35831586,-382474343.5720711,169430131.21375522
2017-11-24,-391665201.2328023,0.0,0.0,0.0,0.0,0.0,0.0,-391665201.2328023,-888714342.6587162,497049141.42591393
2017-12-01,-281613035.3523316,0.0,0.0,0.0,0.0,0.0,0.0,-281613035.3523316,-690795807.9247427,409182772.5724111
2017-12-08,-939934554.1597141,0.0,0.0,0.0,0.0,0.0,0.0,-939934554.1597141,-1684301739.2883587,744367185.1286446
2017-12-15,-41466316.6905806,0.0,0.0,0.0,0.0,0.0,0.0,-41466316.6905806,-72795803.77086163,31329487.080281027
2017-12-22,-167950010.6987463,0.0,0.0,0.0,0.0,0.0,0.0,-167950010.6987463,-304635646.0414629,136685635.3427166
2017-12-29,-176961751.6611111,0.0,0.0,0.0,0.0,0.0,0.0,-176961751.6611111,-320156257.0816555,143194505.42054442
2018-01-05,-103074171.31165774,0.0,0.0,0.0,0.0,0.0,0.0,-103074171.31165774,-138010918.66607475,34936747.35441701
2018-01-12,-184610880.62200126,0.0,0.0,0.0,0.0,0.0,0.0,-184610880.62200126,-288677910.4784641,104067029.85646287
2018-01-19,-119587275.08281541,0.0,0.0,0.0,0.0,0.0,0.0,-119587275.08281541,-170643038.8739071,51055763.79109168
2018-01-26,-97990421.49648954,0.0,0.0,0.0,0.0,0.0,0.0,-97990421.49648954,-130404953.73529434,32414532.238804802
2018-02-02,-210262127.57050765,0.0,0.0,0.0,0.0,0.0,0.0,-210262127.57050765,-336395306.7304449,126133179.15993726
2018-02-09,25588266.64628285,0.0,0.0,0.0,0.0,0.0,0.0,25588266.64628285,47600511.83568764,-22012245.189404786
2018-02-16,-232276354.49454278,0.0,0.0,0.0,0.0,0.0,0.0,-232276354.49454278,-374582077.8463888,142305723.35184604
2018-02-23,-271574736.6157738,0.0,0.0,0.0,0.0,0.0,0.0,-271574736.6157738,-447690511.8697777,176115775.25400388
2018-03-02,-52232337.33301481,0.0,0.0,0.0,0.0,0.0,0.0,-52232337.33301481,-96769844.24145126,44537506.908436455
2018-03-09,112605309.4534127,0.0,0.0,0.0,0.0,0.0,0.0,112605309.4534127,157357073.40630913,-44751763.95289643
2018-03-16,-110194766.45187616,0.0,0.0,0.0,0.0,0.0,0.0,-110194766.45187616,-151376102.08099174,41181335.62911558
2018-03-23,-108641992.88283367,0.0,0.0,0.0,0.0,0.0,0.0,-108641992.88283367,-149370867.08669567,40728874.203862
2018-03-30,-119147597.08997107,0.0,0.0,0.0,0.0,0.0,0.0,-119147597.08997107,-171077617.91023636,51930020.82026529
2018-04-06,35042343.246489964,0.0,0.0,0.0,0.0,0.0,0.0,35042343.246489964,65128828.671627045,-30086485.42513708
2018-04-13,-196149755.36230016,0.0,0.0,0.0,0.0,0.0,0.0,-196149755.36230016,-312743198.68614197,116593443.32384181
2018-04-20,-197736048.1306951,0.0,0.0,0.0,0.0,0.0,0.0,-197736048.1306951,-310692462.59589386,112956414.46519876
2018-04-27,-127664933.27501898,0.0,0.0,0.0,0.0,0.0,0.0,-127664933.27501898,-184429576.45519543,56764643.18017645
2018-05-04,-56231408.33319041,0.0,0.0,0.0,0.0,0.0,0.0,-56231408.33319041,-55154396.35867977,-1077011.97451064
2018-05-11,-118614545.68133211,0.0,0.0,0.0,0.0,0.0,0.0,-118614545.68133211,-169112493.34115028,50497947.65981817
2018-05-18,-144763017.28263623,0.0,0.0,0.0,0.0,0.0,0.0,-144763017.28263623,-213271995.56237411,68508978.27973789
2018-05-25,-89975771.06536895,0.0,0.0,0.0,0.0,0.0,0.0,-89975771.06536895,-117707115.69916725,27731344.6337983
2018-06-01,-48475452.98480971,0.0,0.0,0.0,0.0,0.0,0.0,-48475452.98480971,-88684998.81763744,40209545.83282773
2018-06-08,-56942102.612802446,0.0,0.0,0.0,0.0,0.0,0.0,-56942102.612802446,-58016102.71366501,1074000.1008625627
2018-06-15,-104567176.68112192,0.0,0.0,0.0,0.0,0.0,0.0,-104567176.68112192,-145202516.04380417,40635339.36268225
2018-06-22,-106933628.54459335,0.0,0.0,0.0,0.0,0.0,0.0,-106933628.54459335,-194633349.1705246,87699720.62593125
2018-06-29,50968104.51139385,0.0,0.0,0.0,0.0,0.0,0.0,50968104.51139385,92940513.77078629,-41972409.25939243
2018-07-06,41453483.006347306,0.0,0.0,0.0,0.0,0.0,0.0,41453483.006347306,76183622.31767368,-34730139.31132638
2018-07-13,119281976.43047409,0.0,0.0,0.0,0.0,0.0,0.0,119281976.43047409,169248972.0266018,-49966995.596127704
2018-07-20,77211481.41334544,0.0,0.0,0.0,0.0,0.0,0.0,77211481.41334544,93941345.35969543,-16729863.946349993
2018-07-27,82641032.28711699,0.0,0.0,0.0,0.0,0.0,0.0,82641032.28711699,148977113.880414,-66336081.59329702
2018-08-03,-138852464.40974534,0.0,0.0,0.0,0.0,0.0,0.0,-138852464.40974534,-205411343.58115196,66558879.17140663
2018-08-10,-126598610.55087936,0.0,0.0,0.0,0.0,0.0,0.0,-126598610.55087936,-183358520.98368263,56759910.43280327
2018-08-17,24748895.553539257,0.0,0.0,0.0,0.0,0.0,0.0,24748895.553539257,45534287.72725773,-20785392.17371847
2018-08-24,5043901.305067765,0.0,0.0,0.0,0.0,0.0,0.0,5043901.305067765,8677717.494515419,-3633816.1894476544
2018-08-31,-117473347.52329877,0.0,0.0,0.0,0.0,0.0,0.0,-117473347.52329877,-211516168.64884377,94042821.125545
2018-09-07,26242751.33879787,0.0,0.0,0.0,0.0,0.0,0.0,26242751.33879787,48386969.057946205,-22144217.719148334
2018-09-14,-23114038.88996082,0.0,0.0,0.0,0.0,0.0,0.0,-23114038.88996082,6181411.348340988,-29295450.23830181
2018-09-21,-37737633.249244966,0.0,0.0,0.0,0.0,0.0,0.0,-37737633.249244966,-19921045.026478767,-17816588.2227662
2018-09-28,15567193.663106704,0.0,0.0,0.0,0.0,0.0,0.0,15567193.663106704,30374470.74094677,-14807277.077840066
