age,t_years_from_now,pension_year,alive_start_male,alive_start_female,alive_start_total,deaths_male,deaths_female,deaths_total,alive_end_male,alive_end_female,alive_end_total,mortality_rate_qx,survival_rate_px,qx_male,qx_female
65,15,0,44278.3812,46799.0901,91077.4713,888.157,575.8661,1464.023,43390.2242,46223.2241,89613.4483,0.0161,0.9839,0.0201,0.0123
66,16,1,43390.2242,46223.2241,89613.4483,972.1527,647.9816,1620.1343,42418.0715,45575.2424,87993.3139,0.0181,0.9819,0.0224,0.014
67,17,2,42418.0715,45575.2424,87993.3139,1056.7324,724.0853,1780.8177,41361.3391,44851.1571,86212.4962,0.0202,0.9798,0.0249,0.0159
68,18,3,41361.3391,44851.1571,86212.4962,1140.7262,803.5309,1944.257,40220.6129,44047.6263,84268.2392,0.0226,0.9774,0.0276,0.0179
69,19,4,40220.6129,44047.6263,84268.2392,1222.8792,885.5258,2108.405,38997.7336,43162.1005,82159.8341,0.025,0.975,0.0304,0.0201
70,20,5,38997.7336,43162.1005,82159.8341,1301.8818,969.1381,2271.0199,37695.8518,42192.9623,79888.8142,0.0276,0.9724,0.0334,0.0225
71,21,6,37695.8518,42192.9623,79888.8142,1376.4022,1053.3094,2429.7116,36319.4496,41139.653,77459.1026,0.0304,0.9696,0.0365,0.025
72,22,7,36319.4496,41139.653,77459.1026,1445.1235,1136.8732,2581.9967,34874.3261,40002.7798,74877.1059,0.0333,0.9667,0.0398,0.0276
73,23,8,34874.3261,40002.7798,74877.1059,1506.7819,1218.5796,2725.3615,33367.5443,38784.2001,72151.7444,0.0364,0.9636,0.0432,0.0305
74,24,9,33367.5443,38784.2001,72151.7444,1560.2048,1297.1244,2857.3292,31807.3395,37487.0757,69294.4152,0.0396,0.9604,0.0468,0.0334
75,25,10,31807.3395,37487.0757,69294.4152,1604.3483,1371.1821,2975.5304,30202.9912,36115.8936,66318.8848,0.0429,0.9571,0.0504,0.0366
76,26,11,30202.9912,36115.8936,66318.8848,1638.3304,1439.443,3077.7734,28564.6608,34676.4507,63241.1114,0.0464,0.9536,0.0542,0.0399
77,27,12,28564.6608,34676.4507,63241.1114,1661.461,1500.6506,3162.1117,26903.1997,33175.8001,60078.9998,0.05,0.95,0.0582,0.0433
78,28,13,26903.1997,33175.8001,60078.9998,1673.2647,1553.6405,3226.9052,25229.9351,31622.1595,56852.0946,0.0537,0.9463,0.0622,0.0468
79,29,14,25229.9351,31622.1595,56852.0946,1673.4969,1597.3765,3270.8734,23556.4381,30024.783,53581.2212,0.0575,0.9425,0.0663,0.0505
80,30,15,23556.4381,30024.783,53581.2212,1662.1531,1630.9846,3293.1377,21894.2851,28393.7984,50288.0835,0.0615,0.9385,0.0706,0.0543
81,31,16,21894.2851,28393.7984,50288.0835,1639.4679,1653.7819,3293.2498,20254.8171,26740.0165,46994.8337,0.0655,0.9345,0.0749,0.0582
82,32,17,20254.8171,26740.0165,46994.8337,1605.9079,1665.2998,3271.2077,18648.9092,25074.7167,43723.626,0.0696,0.9304,0.0793,0.0623
83,33,18,18648.9092,25074.7167,43723.626,1562.1552,1665.2998,3227.4549,17086.7541,23409.4169,40496.171,0.0738,0.9262,0.0838,0.0664
84,34,19,17086.7541,23409.4169,40496.171,1509.0843,1653.7819,3162.8662,15577.6698,21755.635,37333.3048,0.0781,0.9219,0.0883,0.0706
85,35,20,15577.6698,21755.635,37333.3048,1447.7336,1630.9846,3078.7182,14129.9362,20124.6504,34254.5866,0.0825,0.9175,0.0929,0.075
