book,method,n,exceptions,rate,expected_rate,kupiec_LR,kupiec_reject_5pct,christoffersen_ind_LR
fwd_recv_2y5y,Delta-Normal,394,30,0.07614213197969544,0.050000000000000044,4.9207967398808705,True,11.224403846985041
fwd_recv_2y5y,Monte Carlo,394,29,0.07360406091370558,0.050000000000000044,4.060286496705771,True,12.24604356319361
fwd_recv_2y5y,PCA + GARCH,394,35,0.08883248730964467,0.050000000000000044,10.265167231111974,True,39.27066412718628
fwd_recv_5y5y,Delta-Normal,394,26,0.06598984771573604,0.050000000000000044,1.9354888367230956,False,15.719154963591421
fwd_recv_5y5y,Monte Carlo,394,28,0.07106598984771574,0.050000000000000044,3.2742349035501377,False,13.33260786201376
fwd_recv_5y5y,PCA + GARCH,394,28,0.07106598984771574,0.050000000000000044,3.2742349035501377,False,21.947179270703913
irs_recv_10y,Delta-Normal,394,30,0.07614213197969544,0.050000000000000044,4.9207967398808705,True,39.36843451291091
irs_recv_10y,Monte Carlo,394,31,0.07868020304568528,0.050000000000000044,5.853480513298024,True,37.096883226052825
irs_recv_10y,PCA + GARCH,394,22,0.05583756345177665,0.050000000000000044,0.27281006092823645,False,16.435192643826383
irs_recv_5y,Delta-Normal,394,21,0.0532994923857868,0.050000000000000044,0.0884800142786446,False,35.68939478137895
irs_recv_5y,Monte Carlo,394,22,0.05583756345177665,0.050000000000000044,0.27281006092823645,False,33.311454108562884
irs_recv_5y,PCA + GARCH,394,30,0.07614213197969544,0.050000000000000044,4.9207967398808705,True,45.455197799450445
payer_10y,Delta-Normal,394,28,0.07106598984771574,0.050000000000000044,3.2742349035501377,False,26.902442879599846
payer_10y,Monte Carlo,394,29,0.07360406091370558,0.050000000000000044,4.060286496705771,True,30.27967164556884
payer_10y,PCA + GARCH,394,18,0.04568527918781726,0.050000000000000044,0.15882181407241092,False,3.9881378473525615
payer_5y,Delta-Normal,394,34,0.08629441624365482,0.050000000000000044,9.063868351946951,True,13.990699608351122
payer_5y,Monte Carlo,394,34,0.08629441624365482,0.050000000000000044,9.063868351946951,True,13.990699608351122
payer_5y,PCA + GARCH,394,21,0.0532994923857868,0.050000000000000044,0.0884800142786446,False,8.851152716362407
unhedged,Delta-Normal,394,30,0.07614213197969544,0.050000000000000044,4.9207967398808705,True,18.99112427725234
unhedged,Monte Carlo,394,31,0.07868020304568528,0.050000000000000044,5.853480513298024,True,17.63455898537157
unhedged,PCA + GARCH,394,23,0.0583756345177665,0.050000000000000044,0.5534568797319821,False,7.161932033043058
