date,unhedged,irs_recv_5y,irs_recv_10y,fwd_recv_2y5y,fwd_recv_5y5y,payer_5y,payer_10y
2018-11-20,-28286999.999999985,5402526.644738182,54191415.13557443,21529860.619421273,22081440.28225883,-61976526.64473815,-110765415.1355744
2018-12-04,-40743500.0,9043917.92189902,68614235.87615235,30625589.568546474,20946892.862649925,-90530917.92189902,-150101235.87615234
2018-12-18,3338999.9999999986,-1101823.762231113,-8985924.926144721,-1398925.7377248271,-4777270.420056554,7779823.76223111,15663924.926144717
2019-01-10,-19754000.00000001,10431207.381294314,28380970.45995723,25972779.59473403,-702413.1159187369,-49939207.38129434,-67888970.45995726
2019-01-24,-38174499.99999999,1662698.7701599821,88436508.53029081,32251711.210633226,51013919.46815812,-78011698.77015996,-164785508.5302908
2019-02-07,-21444500.000000004,-557844.3277192749,67330770.91487819,31094074.970366593,48248582.14447892,-42331155.67228073,-110219770.91487819
2019-02-21,3794000.0000000126,-6929588.075533079,2702544.9847086794,-3495885.0729737156,13426576.319715453,14517588.075533105,4885455.015291346
2019-03-07,-38438400.00000001,4743143.161769979,65420799.8683595,24088372.812844567,24235340.662089996,-81619943.16176999,-142297599.8683595
2019-03-21,-6491100.000000006,-4860068.856754666,41947367.73951756,12848476.57711708,41206975.58912503,-8122131.143245345,-54929567.73951758
2019-04-04,-21668499.999999993,2617437.4442155138,27173702.214670666,7091006.926521905,3706505.420022674,-45954437.4442155,-70510702.21467066
2019-04-18,2680999.999999999,2341139.2158955624,-13857844.200037241,-7030786.437150777,-13891107.58777231,3020860.7841044357,19219844.20003724
2019-05-08,-21462700.000000007,619472.6286533102,55711221.38124823,20423460.112247758,35046705.0920841,-43544872.628653325,-98636621.38124824
2019-05-22,-30333799.999999993,4782785.077888407,30970760.673529632,5342097.924689837,-3075803.60164427,-65450385.07788839,-91638360.67352962
2019-06-05,-72351999.99999999,2780090.9625044614,140833172.1359347,42871612.91542883,69562619.97523935,-147484090.96250445,-285537172.1359347
2019-06-19,-43305499.99999999,-2914198.8673442528,44052954.17440141,-5091740.731487982,4907464.283684619,-83696801.13265574,-130663954.1744014
2019-07-03,-51810500.00000001,816294.3779097721,107953258.88381445,28824595.517798536,58216700.58250224,-104437294.37790978,-211574258.88381445
2019-07-17,6170500.000000014,355796.1501924535,-35837121.44757174,-20843910.349466547,-30954412.631678805,11985203.849807575,48178121.44757177
2019-07-31,-53781000.000000015,584394.8183336705,135872850.13863802,46002283.74305175,85054551.19019352,-108146394.8183337,-243434850.13863802
2019-08-14,-100177000.00000001,-5527941.141624942,245060229.73695707,65336086.73501633,156564305.12776792,-194826058.85837507,-445414229.7369571
2019-08-28,-33641999.99999999,-650670.8539127037,82623464.42869711,22330668.10247851,51722554.85249043,-66633329.14608728,-149907464.4286971
2019-09-11,62853000.0,9048543.545902133,-187928987.5503626,-47975975.36848807,-138597200.4920739,116657456.45409787,313634987.5503626
2019-09-25,22350999.999999996,-11729069.871741895,46099091.53338981,19915223.19898307,80812725.84164655,56431069.87174189,-1397091.5333898105
2019-10-09,6478499.999999997,-2008793.1188199548,-38866874.13809371,-20120707.721100334,-31355539.64748097,14965793.118819948,51823874.13809371
