date,book,method,var
2018-11-06,unhedged,Delta-Normal,64135691.37832583
2018-11-06,unhedged,Monte Carlo,63761975.11565594
2018-11-06,unhedged,PCA + GARCH,48872885.89388065
2018-11-06,irs_recv_5y,Delta-Normal,15548651.763900835
2018-11-06,irs_recv_5y,Monte Carlo,15229512.157271251
2018-11-06,irs_recv_5y,PCA + GARCH,10860882.562965667
2018-11-06,irs_recv_10y,Delta-Normal,124986645.07973456
2018-11-06,irs_recv_10y,Monte Carlo,125765163.54537216
2018-11-06,irs_recv_10y,PCA + GARCH,94849663.60258122
2018-11-06,fwd_recv_2y5y,Delta-Normal,45983385.50998569
2018-11-06,fwd_recv_2y5y,Monte Carlo,45982077.85187086
2018-11-06,fwd_recv_2y5y,PCA + GARCH,34275377.20299078
2018-11-06,fwd_recv_5y5y,Delta-Normal,75139869.61051624
2018-11-06,fwd_recv_5y5y,Monte Carlo,75982213.49730153
2018-11-06,fwd_recv_5y5y,PCA + GARCH,55803152.12546997
2018-11-06,payer_5y,Delta-Normal,134251792.45025858
2018-11-06,payer_5y,Monte Carlo,133848656.52095099
2018-11-06,payer_5y,PCA + GARCH,101692391.10052763
2018-11-06,payer_10y,Delta-Normal,248926903.83329517
2018-11-06,payer_10y,Monte Carlo,249708441.06229398
2018-11-06,payer_10y,PCA + GARCH,189142810.4647366
2018-11-13,unhedged,Delta-Normal,64001272.89768303
2018-11-13,unhedged,Monte Carlo,62496678.22530919
2018-11-13,unhedged,PCA + GARCH,46465851.372322835
2018-11-13,irs_recv_5y,Delta-Normal,15519252.543410962
2018-11-13,irs_recv_5y,Monte Carlo,15850363.038873393
2018-11-13,irs_recv_5y,PCA + GARCH,10178951.286431419
2018-11-13,irs_recv_10y,Delta-Normal,124972447.54101719
2018-11-13,irs_recv_10y,Monte Carlo,122501157.43195036
2018-11-13,irs_recv_10y,PCA + GARCH,89115168.87476775
2018-11-13,fwd_recv_2y5y,Delta-Normal,45978595.33358646
2018-11-13,fwd_recv_2y5y,Monte Carlo,45282772.56713281
2018-11-13,fwd_recv_2y5y,PCA + GARCH,31834284.071570665
2018-11-13,fwd_recv_5y5y,Delta-Normal,75135021.99845205
2018-11-13,fwd_recv_5y5y,Monte Carlo,73944572.58049998
2018-11-13,fwd_recv_5y5y,PCA + GARCH,51427442.96630858
2018-11-13,payer_5y,Delta-Normal,134005739.39376916
2018-11-13,payer_5y,Monte Carlo,131762609.85134913
2018-11-13,payer_5y,PCA + GARCH,97226024.75417088
2018-11-13,payer_10y,Delta-Normal,248665003.79755217
2018-11-13,payer_10y,Monte Carlo,243621537.5719853
2018-11-13,payer_10y,PCA + GARCH,182721581.33788094
2018-11-20,unhedged,Delta-Normal,63834605.3466461
2018-11-20,unhedged,Monte Carlo,64327363.18547467
2018-11-20,unhedged,PCA + GARCH,42986289.38694369
2018-11-20,irs_recv_5y,Delta-Normal,15543548.789017847
2018-11-20,irs_recv_5y,Monte Carlo,15221342.219595991
2018-11-20,irs_recv_5y,PCA + GARCH,9394311.158984328
2018-11-20,irs_recv_10y,Delta-Normal,125315733.47258854
2018-11-20,irs_recv_10y,Monte Carlo,125341508.7637637
2018-11-20,irs_recv_10y,PCA + GARCH,83629122.72203417
2018-11-20,fwd_recv_2y5y,Delta-Normal,46113919.10330507
2018-11-20,fwd_recv_2y5y,Monte Carlo,45866544.071321234
2018-11-20,fwd_recv_2y5y,PCA + GARCH,29873499.516536612
2018-11-20,fwd_recv_5y5y,Delta-Normal,75410203.77780724
2018-11-20,fwd_recv_5y5y,Monte Carlo,75841204.39866085
2018-11-20,fwd_recv_5y5y,PCA + GARCH,48592727.64899477
2018-11-20,payer_5y,Delta-Normal,133793118.52221498
2018-11-20,payer_5y,Monte Carlo,134583364.04561082
2018-11-20,payer_5y,PCA + GARCH,90007997.14429735
2018-11-20,payer_10y,Delta-Normal,248700579.93020898
2018-11-20,payer_10y,Monte Carlo,252035145.3377503
2018-11-20,payer_10y,PCA + GARCH,169625746.03545
2018-11-27,unhedged,Delta-Normal,63664972.197386324
2018-11-27,unhedged,Monte Carlo,62961376.112275966
2018-11-27,unhedged,PCA + GARCH,40074602.07919203
2018-11-27,irs_recv_5y,Delta-Normal,15534209.907941395
2018-11-27,irs_recv_5y,Monte Carlo,15513565.877512312
2018-11-27,irs_recv_5y,PCA + GARCH,8330473.544286475
2018-11-27,irs_recv_10y,Delta-Normal,125277815.05719197
2018-11-27,irs_recv_10y,Monte Carlo,124348500.04398152
2018-11-27,irs_recv_10y,PCA + GARCH,77530345.11697994
2018-11-27,fwd_recv_2y5y,Delta-Normal,46113161.786260225
2018-11-27,fwd_recv_2y5y,Monte Carlo,46039987.94862626
2018-11-27,fwd_recv_2y5y,PCA + GARCH,27495752.187039208
2018-11-27,fwd_recv_5y5y,Delta-Normal,75414438.62623812
2018-11-27,fwd_recv_5y5y,Monte Carlo,74752359.2661941
2018-11-27,fwd_recv_5y5y,PCA + GARCH,44012143.237553634
2018-11-27,payer_5y,Delta-Normal,133490111.55993392
2018-11-27,payer_5y,Monte Carlo,132067646.90227039
2018-11-27,payer_5y,PCA + GARCH,84264905.07892685
2018-11-27,payer_10y,Delta-Normal,248345059.10728434
2018-11-27,payer_10y,Monte Carlo,247751928.56726843
2018-11-27,payer_10y,PCA + GARCH,155960613.05562815
