,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y
1Y,5.185154640969214e-08,7.231339351287967e-08,7.35589172279758e-08,7.171076105956989e-08,6.976431126645993e-08,6.801415766814782e-08,6.466102260136715e-08,6.262610106032225e-08,6.073136764890801e-08,5.861386465245003e-08
2Y,7.231339351287967e-08,1.1964220668534837e-07,1.2770438725182847e-07,1.2659825579397123e-07,1.2452890688395447e-07,1.2206635404688414e-07,1.1688939869011425e-07,1.1393996599885928e-07,1.1030169342866061e-07,1.0721236723097153e-07
3Y,7.35589172279758e-08,1.2770438725182847e-07,1.4114369509623296e-07,1.4180040318689204e-07,1.4104097287177867e-07,1.3971461006775588e-07,1.345892597795081e-07,1.3216608386052476e-07,1.281936568025551e-07,1.2540935930690056e-07
4Y,7.171076105956989e-08,1.2659825579397123e-07,1.4180040318689204e-07,1.4633506335905966e-07,1.477278372842685e-07,1.471856930844138e-07,1.4359490165688683e-07,1.4156567870789718e-07,1.385552522016072e-07,1.3611190468926972e-07
5Y,6.976431126645993e-08,1.2452890688395447e-07,1.4104097287177867e-07,1.477278372842685e-07,1.5260401185702057e-07,1.5289787146358302e-07,1.498261359233977e-07,1.4891536532468092e-07,1.4639769182671673e-07,1.4443186329266922e-07
6Y,6.801415766814782e-08,1.2206635404688414e-07,1.3971461006775588e-07,1.471856930844138e-07,1.5289787146358302e-07,1.5667145754268104e-07,1.5264209652747654e-07,1.5227196267226149e-07,1.506484012719519e-07,1.4923614144375303e-07
7Y,6.466102260136715e-08,1.1688939869011425e-07,1.345892597795081e-07,1.4359490165688683e-07,1.498261359233977e-07,1.5264209652747654e-07,1.5265752745582998e-07,1.5268541540523175e-07,1.5167684990300065e-07,1.5129201038403567e-07
8Y,6.262610106032225e-08,1.1393996599885928e-07,1.3216608386052476e-07,1.4156567870789718e-07,1.4891536532468092e-07,1.5227196267226149e-07,1.5268541540523175e-07,1.5402854742702044e-07,1.533304151655326e-07,1.5355829098480185e-07
9Y,6.073136764890801e-08,1.1030169342866061e-07,1.281936568025551e-07,1.385552522016072e-07,1.4639769182671673e-07,1.506484012719519e-07,1.5167684990300065e-07,1.533304151655326e-07,1.5370893666061727e-07,1.5388322812022172e-07
10Y,5.861386465245003e-08,1.0721236723097153e-07,1.2540935930690056e-07,1.3611190468926972e-07,1.4443186329266922e-07,1.4923614144375303e-07,1.5129201038403567e-07,1.5355829098480185e-07,1.5388322812022172e-07,1.5578636766965604e-07
