,Factor 1,Factor 2,Factor 3
1Y,-0.2702162111780069,-0.643570155756104,0.6715729068010508
2Y,-0.3088344605945312,-0.41196310751421117,-0.22900515946634153
3Y,-0.31881987256146016,-0.24809679414081431,-0.41608992256169725
4Y,-0.32663989386643816,-0.09055506222823896,-0.32375759223028017
5Y,-0.32790457789685384,0.03464293692999815,-0.20525979013786477
6Y,-0.3264729417527073,0.11758277597372913,-0.08953747285604122
7Y,-0.3253761351027872,0.20388859920191216,0.03524631958377812
8Y,-0.322313970250811,0.2614121660298262,0.1291959985933247
9Y,-0.31817480542081045,0.30810931293932703,0.23024215895413075
10Y,-0.31331712104588955,0.35565087047763255,0.31225432623898314
